MS46122B
!2032304/20262023
!4/18/2023.3:03:03.AM
!CHANNEL.1
!TR.MEASUREMENT
!RF.CORRECTION.OFF
!AVERAGING.OFF
!IF.BANDWIDTH: 1KHZ
!NUMBER.OF.TRACES: 1
!TRACE:       	TRACE.1           
!PARAMETER:   	S11               
!PORT:        	PORT1             
!GRAPH:       	LOGMAG            
!SMOOTHING:   	OFF               
!TIMEDOMAIN:  	NOT.INSTALLED     
!SWEEPTYPE: FREQ.SWEEP(Linear)
PNT	FREQ1.GHZ	LOGMAG1
1	2.000000000	-5.380686E+000
2	2.005000000	-5.366100E+000
3	2.010000000	-5.365435E+000
4	2.015000000	-5.377818E+000
5	2.020000000	-5.388644E+000
6	2.025000000	-5.415699E+000
7	2.030000000	-5.430322E+000
8	2.035000000	-5.431601E+000
9	2.040000000	-5.431144E+000
10	2.045000000	-5.412128E+000
11	2.050000000	-5.390851E+000
12	2.055000000	-5.350975E+000
13	2.060000000	-5.312897E+000
14	2.065000000	-5.274660E+000
15	2.070000000	-5.243428E+000
16	2.075000000	-5.227306E+000
17	2.080000000	-5.216647E+000
18	2.085000000	-5.224052E+000
19	2.090000000	-5.250926E+000
20	2.095000000	-5.289540E+000
21	2.100000000	-5.331731E+000
22	2.105000000	-5.394888E+000
23	2.110000000	-5.457888E+000
24	2.115000000	-5.523331E+000
25	2.120000000	-5.582938E+000
26	2.125000000	-5.626478E+000
27	2.130000000	-5.671570E+000
28	2.135000000	-5.717070E+000
29	2.140000000	-5.741195E+000
30	2.145000000	-5.767903E+000
31	2.150000000	-5.796759E+000
32	2.155000000	-5.827880E+000
33	2.160000000	-5.862866E+000
34	2.165000000	-5.907598E+000
35	2.170000000	-5.964491E+000
36	2.175000000	-6.040559E+000
37	2.180000000	-6.124667E+000
38	2.185000000	-6.214767E+000
39	2.190000000	-6.319626E+000
40	2.195000000	-6.431774E+000
41	2.200000000	-6.556422E+000
42	2.205000000	-6.688766E+000
43	2.210000000	-6.823194E+000
44	2.215000000	-6.959255E+000
45	2.220000000	-7.100980E+000
46	2.225000000	-7.245852E+000
47	2.230000000	-7.414553E+000
48	2.235000000	-7.591962E+000
49	2.240000000	-7.787947E+000
50	2.245000000	-7.989751E+000
51	2.250000000	-8.224981E+000
52	2.255000000	-7.940678E+000
53	2.260000000	-8.137909E+000
54	2.265000000	-8.351583E+000
55	2.270000000	-8.564445E+000
56	2.275000000	-8.785954E+000
57	2.280000000	-9.025807E+000
58	2.285000000	-9.299290E+000
59	2.290000000	-9.573508E+000
60	2.295000000	-9.917996E+000
61	2.300000000	-1.029134E+001
62	2.305000000	-1.073628E+001
63	2.310000000	-1.124423E+001
64	2.315000000	-1.186290E+001
65	2.320000000	-1.260147E+001
66	2.325000000	-1.345236E+001
67	2.330000000	-1.442878E+001
68	2.335000000	-1.555212E+001
69	2.340000000	-1.679100E+001
70	2.345000000	-1.814625E+001
71	2.350000000	-1.953485E+001
72	2.355000000	-2.090906E+001
73	2.360000000	-2.217302E+001
74	2.365000000	-2.320145E+001
75	2.370000000	-2.394777E+001
76	2.375000000	-2.426545E+001
77	2.380000000	-2.412907E+001
78	2.385000000	-2.352771E+001
79	2.390000000	-2.259615E+001
80	2.395000000	-2.144586E+001
81	2.400000000	-2.019463E+001
82	2.405000000	-1.898250E+001
83	2.410000000	-1.783709E+001
84	2.415000000	-1.671281E+001
85	2.420000000	-1.566234E+001
86	2.425000000	-1.475193E+001
87	2.430000000	-1.393007E+001
88	2.435000000	-1.322018E+001
89	2.440000000	-1.257525E+001
90	2.445000000	-1.199158E+001
91	2.450000000	-1.149545E+001
92	2.455000000	-1.104647E+001
93	2.460000000	-1.065824E+001
94	2.465000000	-1.029253E+001
95	2.470000000	-9.946712E+000
96	2.475000000	-9.604857E+000
97	2.480000000	-9.267721E+000
98	2.485000000	-8.916123E+000
99	2.490000000	-8.566047E+000
100	2.495000000	-8.199642E+000
101	2.500000000	-7.837438E+000
102	2.505000000	-7.492451E+000
103	2.510000000	-7.184740E+000
104	2.515000000	-6.897274E+000
105	2.520000000	-6.636000E+000
106	2.525000000	-6.409028E+000
107	2.530000000	-6.226044E+000
108	2.535000000	-6.064667E+000
109	2.540000000	-5.935163E+000
110	2.545000000	-5.825322E+000
111	2.550000000	-5.732361E+000
112	2.555000000	-5.646078E+000
113	2.560000000	-5.576970E+000
114	2.565000000	-5.506769E+000
115	2.570000000	-5.431436E+000
116	2.575000000	-5.350080E+000
117	2.580000000	-5.262358E+000
118	2.585000000	-5.174673E+000
119	2.590000000	-5.081506E+000
120	2.595000000	-4.993754E+000
121	2.600000000	-4.916661E+000
122	2.605000000	-4.848572E+000
123	2.610000000	-4.794243E+000
124	2.615000000	-4.741548E+000
125	2.620000000	-4.709856E+000
126	2.625000000	-4.685975E+000
127	2.630000000	-4.673389E+000
128	2.635000000	-4.662112E+000
129	2.640000000	-4.669575E+000
130	2.645000000	-4.665426E+000
131	2.650000000	-4.675480E+000
132	2.655000000	-4.674415E+000
133	2.660000000	-4.678235E+000
134	2.665000000	-4.676272E+000
135	2.670000000	-4.678887E+000
136	2.675000000	-4.683033E+000
137	2.680000000	-4.691619E+000
138	2.685000000	-4.704171E+000
139	2.690000000	-4.717221E+000
140	2.695000000	-4.737279E+000
141	2.700000000	-4.761198E+000
142	2.705000000	-4.789300E+000
143	2.710000000	-4.818509E+000
144	2.715000000	-4.852002E+000
145	2.720000000	-4.893486E+000
146	2.725000000	-4.923992E+000
147	2.730000000	-4.970496E+000
148	2.735000000	-5.020515E+000
149	2.740000000	-5.088478E+000
150	2.745000000	-5.151289E+000
151	2.750000000	-5.232409E+000
152	2.755000000	-5.332102E+000
153	2.760000000	-5.449900E+000
154	2.765000000	-5.585707E+000
155	2.770000000	-5.746799E+000
156	2.775000000	-5.918870E+000
157	2.780000000	-6.116114E+000
158	2.785000000	-6.312090E+000
159	2.790000000	-6.531811E+000
160	2.795000000	-6.758803E+000
161	2.800000000	-7.009321E+000
162	2.805000000	-7.261214E+000
163	2.810000000	-7.537937E+000
164	2.815000000	-7.830350E+000
165	2.820000000	-8.170329E+000
166	2.825000000	-8.558056E+000
167	2.830000000	-8.990614E+000
168	2.835000000	-9.503363E+000
169	2.840000000	-1.010020E+001
170	2.845000000	-1.080106E+001
171	2.850000000	-1.163018E+001
172	2.855000000	-1.258662E+001
173	2.860000000	-1.366931E+001
174	2.865000000	-1.490424E+001
175	2.870000000	-1.632431E+001
176	2.875000000	-1.785427E+001
177	2.880000000	-1.943746E+001
178	2.885000000	-2.087448E+001
179	2.890000000	-2.183923E+001
180	2.895000000	-2.188760E+001
181	2.900000000	-2.103338E+001
182	2.905000000	-1.962121E+001
183	2.910000000	-1.812356E+001
184	2.915000000	-1.674524E+001
185	2.920000000	-1.553307E+001
186	2.925000000	-1.449300E+001
187	2.930000000	-1.358041E+001
