                 Frequency                      S11
                       1                    -0.028545922
               1.0039999                     -0.02355127
                   1.008                    -0.019030833
                   1.012                    -0.015011439
                   1.016                    -0.011514547
                    1.02                   -0.0085582177
                   1.024                   -0.0061546957
                   1.028                   -0.0043150912
               1.0319999                   -0.0030413215
                   1.036                   -0.0023355889
                    1.04                   -0.0021921375
                   1.044                   -0.0026023541
                   1.048                   -0.0035545083
                   1.052                   -0.0050312046
                   1.056                   -0.0070116201
               1.0599999                   -0.0094731633
                   1.064                    -0.012387975
                   1.068                    -0.015725705
                   1.072                    -0.019452449
                   1.076                    -0.023533422
                    1.08                    -0.027929591
                   1.084                    -0.032602368
               1.0880001                     -0.03750908
                   1.092                    -0.042606639
                   1.096                    -0.047851472
                     1.1                    -0.053199427
                   1.104                    -0.058604643
                   1.108                    -0.064023038
                   1.112                    -0.069410487
               1.1160001                    -0.074722331
                    1.12                    -0.079917576
                   1.124                    -0.084954733
                   1.128                    -0.089795588
                   1.132                    -0.094400735
                   1.136                    -0.098737927
                    1.14                     -0.10277413
               1.1440001                     -0.10648039
                   1.148                      -0.1098308
                   1.152                     -0.11280137
                   1.156                      -0.1153751
                    1.16                     -0.11753481
                   1.164                     -0.11926929
                   1.168                     -0.12057019
               1.1720001                     -0.12143176
                   1.176                     -0.12185611
               1.1799999                      -0.1218431
                   1.184                     -0.12140102
                   1.188                     -0.12053893
                   1.192                     -0.11927203
                   1.196                     -0.11761577
                     1.2                     -0.11558931
                   1.204                     -0.11321598
               1.2079999                     -0.11052104
                   1.212                     -0.10753187
                   1.216                      -0.1042767
                    1.22                     -0.10078709
                   1.224                    -0.097095924
                   1.228                    -0.093235946
                   1.232                    -0.089243054
               1.2359999                    -0.085151313
                    1.24                    -0.080995663
                   1.244                    -0.076812317
                   1.248                    -0.072634459
                   1.252                    -0.068497439
                   1.256                    -0.064435098
                    1.26                    -0.060478268
               1.2640001                    -0.056659053
                   1.268                    -0.053005417
                   1.272                    -0.049544994
                   1.276                    -0.046303823
                    1.28                    -0.043305227
                   1.284                    -0.040569634
                   1.288                    -0.038116375
               1.2920001                    -0.035960827
                   1.296                    -0.034117776
                     1.3                    -0.032597023
                   1.304                    -0.031406741
                   1.308                    -0.030553038
                   1.312                    -0.030038746
                   1.316                    -0.029863472
               1.3200001                    -0.030025073
                   1.324                     -0.03051866
               1.3279999                    -0.031336177
                   1.332                    -0.032467359
                   1.336                    -0.033900064
                    1.34                    -0.035619364
                   1.344                    -0.037609856
                   1.348                    -0.039850754
                   1.352                    -0.042323287
               1.3559999                    -0.045005908
                    1.36                    -0.047873878
                   1.364                    -0.050902308
                   1.368                    -0.054067419
                   1.372                    -0.057341914
                   1.376                    -0.060698826
                    1.38                    -0.064110744
               1.3839999                    -0.067550382
                   1.388                    -0.070990883
                   1.392                    -0.074404115
                   1.396                    -0.077763439
                     1.4                    -0.081044876
                   1.404                    -0.084221843
                   1.408                    -0.087271222
               1.4119999                    -0.090171054
                   1.416                    -0.092898855
                    1.42                    -0.095435434
                   1.424                     -0.09776561
                   1.428                    -0.099871223
                   1.432                     -0.10173973
                   1.436                     -0.10335988
               1.4400001                     -0.10472224
                   1.444                     -0.10581954
                   1.448                     -0.10664704
                   1.452                     -0.10720347
                   1.456                     -0.10748682
                    1.46                     -0.10750192
                   1.464                     -0.10725063
               1.4680001                     -0.10674111
                   1.472                     -0.10598122
                   1.476                     -0.10498201
                    1.48                     -0.10375642
                   1.484                     -0.10231944
                   1.488                     -0.10068482
                   1.492                     -0.09887149
               1.4960001                    -0.096898524
                     1.5                    -0.094784835
               1.5039999                     -0.09255064
                   1.508                    -0.090218008
                   1.512                    -0.087810036
                   1.516                    -0.085346726
                    1.52                    -0.082851948
                   1.524                    -0.080348603
                   1.528                     -0.07785779
