                 Frequency                       S11
                       1                     -0.13329021
               1.0039999                     -0.14126028
                   1.008                     -0.14813861
                   1.012                      -0.1537972
                   1.016                     -0.15813021
                    1.02                     -0.16106348
                   1.024                      -0.1625503
                   1.028                     -0.16257417
               1.0319999                     -0.16114975
                   1.036                     -0.15832021
                    1.04                     -0.15415815
                   1.044                     -0.14876214
                   1.048                     -0.14225418
                   1.052                     -0.13477817
                   1.056                      -0.1264941
               1.0599999                     -0.11757669
                   1.064                     -0.10821033
                   1.068                    -0.098585104
                   1.072                    -0.088893719
                   1.076                    -0.079326042
                    1.08                    -0.070067189
                   1.084                    -0.061292523
               1.0880001                     -0.05316628
                   1.092                    -0.045836686
                   1.096                    -0.039433638
                     1.1                    -0.034071208
                   1.104                    -0.029839944
                   1.108                    -0.026806084
                   1.112                    -0.025015091
               1.1160001                    -0.024488183
                    1.12                    -0.025222135
                   1.124                    -0.027192029
                   1.128                    -0.030346072
                   1.132                    -0.034614155
                   1.136                    -0.039903609
                    1.14                    -0.046104457
               1.1440001                    -0.053089415
                   1.148                    -0.060716654
                   1.152                    -0.068833709
                   1.156                    -0.077276846
                    1.16                    -0.085879564
                   1.164                    -0.094471249
                   1.168                      -0.1028818
               1.1720001                     -0.11094747
                   1.176                     -0.11850978
               1.1799999                      -0.1254213
                   1.184                     -0.13155079
                   1.188                     -0.13677954
                   1.192                     -0.14101099
                   1.196                     -0.14416874
                     1.2                     -0.14619866
                   1.204                     -0.14707066
               1.2079999                     -0.14677697
                   1.212                     -0.14533648
                   1.216                     -0.14279008
                    1.22                     -0.13920084
                   1.224                     -0.13465293
                   1.228                     -0.12924889
                   1.232                     -0.12310829
               1.2359999                     -0.11636309
                    1.24                     -0.10915721
                   1.244                     -0.10164014
                   1.248                    -0.093968213
                   1.252                    -0.086296667
                   1.256                    -0.078778308
                    1.26                    -0.071564775
               1.2640001                    -0.064795464
                   1.268                    -0.058601069
                   1.272                    -0.053100837
                   1.276                    -0.048397564
                    1.28                    -0.044578407
                   1.284                    -0.041713171
                   1.288                    -0.039851744
               1.2920001                    -0.039025229
                   1.296                    -0.039244031
                     1.3                    -0.040500894
                   1.304                    -0.042764541
                   1.308                     -0.04598938
                   1.312                    -0.050109317
                   1.316                    -0.055040737
               1.3200001                    -0.060687978
                   1.324                    -0.066937555
               1.3279999                    -0.073668605
                   1.332                    -0.080749096
                   1.336                    -0.088041125
                    1.34                    -0.095403932
                   1.344                     -0.10269372
                   1.348                     -0.10976983
                   1.352                     -0.11649632
               1.3559999                     -0.12274459
                    1.36                     -0.12839476
                   1.364                     -0.13334175
                   1.368                     -0.13749249
                   1.372                     -0.14077434
                   1.376                     -0.14312816
                    1.38                     -0.14451792
               1.3839999                     -0.14492614
                   1.388                     -0.14435535
                   1.392                     -0.14282896
                   1.396                     -0.14039049
                     1.4                     -0.13709996
                   1.404                      -0.1330364
                   1.408                     -0.12829327
               1.4119999                     -0.12297645
                   1.416                     -0.11720427
                    1.42                     -0.11110198
                   1.424                     -0.10479909
                   1.428                    -0.098431312
                   1.432                    -0.092131802
                   1.436                    -0.086031023
               1.4400001                    -0.080256521
                   1.444                     -0.07492702
                   1.448                    -0.070151136
                   1.452                    -0.066025965
                   1.456                    -0.062636399
                    1.46                    -0.060051884
                   1.464                    -0.058325767
               1.4680001                    -0.057495216
                   1.472                    -0.057578703
                   1.476                    -0.058578184
                    1.48                    -0.060478717
                   1.484                    -0.063247509
                   1.488                    -0.066833492
                   1.492                    -0.071173071
               1.4960001                    -0.076186672
                     1.5                    -0.081782329
               1.5039999                    -0.087856422
                   1.508                    -0.094296231
                   1.512                     -0.10098335
                   1.516                     -0.10779183
                    1.52                     -0.11459689
                   1.524                     -0.12127099
                   1.528                     -0.12769108
               1.5319999                     -0.13373776
                   1.536                     -0.13930196
                    1.54                     -0.14428148
                   1.544                     -0.14858838
                   1.548                      -0.1521479
                   1.552                     -0.15490145
                   1.556                     -0.15680555
               1.5599999                     -0.15783665
                   1.564                     -0.15798804
                   1.568                     -0.15727132
                   1.572                     -0.15571635
                   1.576                     -0.15337116
                    1.58                     -0.15029779
                   1.584                     -0.14657425
               1.5880001                     -0.14229282
                   1.592                     -0.13755443
                   1.596                     -0.13246991
                     1.6                     -0.12715726
                   1.604                      -0.1217374
                   1.608                     -0.11633449
                   1.612                     -0.11106815
               1.6160001                     -0.10605986
                    1.62                     -0.10142053
                   1.624                    -0.097257883
                   1.628                    -0.093665845
                   1.632                    -0.090730002
                   1.636                    -0.088521324
                    1.64                    -0.087097782
               1.6440001                    -0.086501552
                   1.648                    -0.086758291
                   1.652                    -0.087878278
                   1.656                    -0.089855241
                    1.66                    -0.092665958
                   1.664                    -0.096272416
                   1.668                     -0.10062009
               1.6720001                     -0.10564117
                   1.676                      -0.1112549
               1.6799999                     -0.11736832
                   1.684                     -0.12387934
                   1.688                     -0.13067845
                   1.692                     -0.13764863
                   1.696                     -0.14467222
                     1.7                      -0.1516273
                   1.704                     -0.15839571
               1.7079999                     -0.16486104
                   1.712                     -0.17091479
                   1.716                     -0.17645487
                    1.72                     -0.18139142
                   1.724                     -0.18564644
                   1.728                     -0.18915555
                   1.732                     -0.19186971
               1.7359999                     -0.19375769
                    1.74                     -0.19480474
                   1.744                      -0.1950139
                   1.748                     -0.19440631
                   1.752                     -0.19301901
                   1.756                     -0.19090739
                    1.76                     -0.18813978
               1.7640001                      -0.1847996
                   1.768                       -0.180982
                   1.772                     -0.17679168
                   1.776                     -0.17234165
                    1.78                     -0.16774859
                   1.784                     -0.16313541
                   1.788                     -0.15862153
               1.7920001                     -0.15432829
                   1.796                     -0.15037041
                     1.8                     -0.14685779
                   1.804                     -0.14389038
                   1.808                     -0.14155891
                   1.812                     -0.13994195
                   1.816                     -0.13910492
               1.8200001                     -0.13909909
                   1.824                     -0.13995737
               1.8279999                     -0.14170013
                   1.832                     -0.14433011
                   1.836                     -0.14783303
                    1.84                     -0.15217743
                   1.844                     -0.15731892
                   1.848                      -0.1631949
                   1.852                      -0.1697303
               1.8559999                     -0.17683731
                    1.86                     -0.18441615
                   1.864                     -0.19235847
                   1.868                      -0.2005498
                   1.872                     -0.20886827
                   1.876                     -0.21719035
                    1.88                     -0.22539279
               1.8839999                      -0.2333537
                   1.888                     -0.24095639
                   1.892                     -0.24808995
                   1.896                     -0.25465555
                     1.9                      -0.2605639
                   1.904                     -0.26574102
                   1.908                     -0.27012608
               1.9119999                     -0.27367665
                   1.916                      -0.2763688
                    1.92                      -0.2781961
                   1.924                     -0.27916968
                   1.928                     -0.27932157
                   1.932                     -0.27870125
                   1.936                     -0.27737349
               1.9400001                     -0.27542055
                   1.944                     -0.27293794
                   1.948                     -0.27003407
                   1.952                     -0.26682729
                   1.956                     -0.26344196
                    1.96                     -0.26000938
                   1.964                       -0.256663
               1.9680001                     -0.25353472
                   1.972                     -0.25075509
                   1.976                     -0.24844894
                    1.98                     -0.24673546
                   1.984                     -0.24572201
                   1.988                     -0.24550461
                   1.992                     -0.24616726
               1.9960001                     -0.24777813
                       2                     -0.25038856
               2.0039999                     -0.25403553
               2.0079999                     -0.25873467
               2.0120001                      -0.2644857
                   2.016                     -0.27126996
                    2.02                     -0.27904949
               2.0239999                      -0.2877697
               2.0280001                     -0.29735973
               2.0320001                     -0.30773245
                   2.036                     -0.31878682
                    2.04                     -0.33041086
               2.0439999                     -0.34248045
               2.0480001                     -0.35486377
                   2.052                     -0.36742446
                   2.056                     -0.38002288
               2.0599999                     -0.39251759
               2.0639999                     -0.40477316
               2.0680001                     -0.41665798
                   2.072                     -0.42804796
                   2.076                     -0.43883345
               2.0799999                      -0.4489159
               2.0840001                     -0.45821435
               2.0880001                     -0.46666657
                   2.092                     -0.47422977
                   2.096                     -0.48088363
               2.0999999                     -0.48662905
               2.1040001                     -0.49149016
                   2.108                     -0.49551424
                   2.112                     -0.49876931
               2.1159999                     -0.50134567
               2.1199999                     -0.50335226
               2.1240001                     -0.50491551
                   2.128                     -0.50617649
                   2.132                      -0.5072914
               2.1359999                     -0.50842361
               2.1400001                     -0.50974328
               2.1440001                     -0.51142665
                   2.148                     -0.51365006
                   2.152                     -0.51658705
               2.1559999                      -0.5204062
               2.1600001                     -0.52526956
                   2.164                     -0.53132603
                   2.168                     -0.53871409
               2.1719999                     -0.54755589
               2.1760001                     -0.55795775
               2.1800001                     -0.57000608
                   2.184                     -0.58376848
                   2.188                     -0.59929042
               2.1919999                     -0.61659734
               2.1960001                     -0.63569172
                     2.2                     -0.65655496
                   2.204                     -0.67914627
               2.2079999                     -0.70340408
               2.2119999                     -0.72924868
               2.2160001                     -0.75657951
                    2.22                     -0.78528231
                   2.224                     -0.81522739
               2.2279999                     -0.84627345
               2.2320001                     -0.87827198
               2.2360001                     -0.91106812
                    2.24                     -0.94450557
                   2.244                     -0.97843346
               2.2479999                      -1.0127007
               2.2520001                      -1.0471733
                   2.256                      -1.0817287
                    2.26                      -1.1162627
               2.2639999                      -1.1506965
               2.2679999                      -1.1849747
               2.2720001                      -1.2190724
                   2.276                      -1.2529996
                    2.28                      -1.2867958
               2.2839999                      -1.3205424
               2.2880001                      -1.3543569
               2.2920001                      -1.3883921
                   2.296                      -1.4228418
                     2.3                      -1.4579332
               2.3039999                      -1.4939316
               2.3080001                      -1.5311333
                   2.312                      -1.5698658
                   2.316                      -1.6104823
               2.3199999                      -1.6533619
               2.3239999                      -1.6989031
               2.3280001                      -1.7475202
                   2.332                      -1.7996426
                   2.336                      -1.8557065
               2.3399999                      -1.9161548
               2.3440001                      -1.9814325
                   2.348                      -2.0519806
                   2.352                      -2.1282383
               2.3559999                      -2.2106317
               2.3599999                      -2.2995776
               2.3640001                      -2.3954757
                   2.368                      -2.4987028
                   2.372                      -2.6096145
               2.3759999                      -2.7285362
               2.3800001                      -2.8557573
               2.3840001                      -2.9915246
                   2.388                       -3.136037
                   2.392                      -3.2894336
               2.3959999                      -3.4517826
               2.4000001                      -3.6230703
                   2.404                      -3.8031816
                   2.408                       -3.991883
               2.4119999                      -4.1887986
               2.4159999                      -4.3933829
               2.4200001                      -4.6048934
                   2.424                      -4.8223568
                   2.428                       -5.044527
               2.4319999                      -5.2698529
               2.4360001                      -5.4964391
               2.4400001                      -5.7220126
                   2.444                      -5.9439059
                   2.448                      -6.1590511
               2.4519999                      -6.3640076
               2.4560001                      -6.5550218
                    2.46                      -6.7281381
                   2.464                      -6.8793527
               2.4679999                      -7.0048197
               2.4719999                       -7.101088
               2.4760001                      -7.1653475
                    2.48                      -7.1956585
                   2.484                      -7.1911149
               2.4879999                      -7.1519295
               2.4920001                      -7.0794106
               2.4960001                      -6.9758485
                     2.5                      -6.8443165
               2.5039999                      -6.6884367
               2.5079999                      -6.5121308
               2.5120001                      -6.3193916
                   2.516                       -6.114102
                    2.52                      -5.8998906
               2.5239999                      -5.6800458
               2.5280001                      -5.4574707
               2.5320001                      -5.2346651
                   2.536                      -5.0137424
                    2.54                      -4.7964471
               2.5439999                       -4.584197
               2.5480001                      -4.3781165
                   2.552                      -4.1790768
                   2.556                        -3.98773
               2.5599999                      -3.8045417
               2.5639999                      -3.6298233
               2.5680001                      -3.4637515
                   2.572                      -3.3063966
                   2.576                      -3.1577323
               2.5799999                      -3.0176597
               2.5840001                      -2.8860116
               2.5880001                      -2.7625728
                   2.592                      -2.6470793
                   2.596                      -2.5392312
               2.5999999                      -2.4386998
               2.6040001                      -2.3451296
                   2.608                      -2.2581454
                   2.612                      -2.1773554
               2.6159999                      -2.1023576
               2.6199999                       -2.032739
               2.6240001                      -1.9680846
                   2.628                       -1.907975
                   2.632                      -1.8519948
               2.6359999                       -1.799733
               2.6400001                      -1.7507876
               2.6440001                      -1.7047683
                   2.648                         -1.6613
                   2.652                      -1.6200246
               2.6559999                      -1.5806072
               2.6600001                      -1.5427357
                   2.664                      -1.5061243
                   2.668                      -1.4705157
               2.6719999                      -1.4356842
               2.6760001                      -1.4014357
               2.6800001                      -1.3676071
                   2.684                      -1.3340675
                   2.688                      -1.3007217
               2.6919999                      -1.2675043
               2.6960001                      -1.2343783
                     2.7                      -1.2013392
                   2.704                      -1.1684054
               2.7079999                      -1.1356206
               2.7119999                      -1.1030488
               2.7160001                        -1.07077
                    2.72                      -1.0388799
                   2.724                      -1.0074851
               2.7279999                     -0.97669821
               2.7320001                     -0.94663564
               2.7360001                     -0.91741429
                    2.74                     -0.88914975
                   2.744                     -0.86195061
               2.7479999                     -0.83592011
               2.7520001                     -0.81114894
                   2.756                      -0.7877165
                    2.76                     -0.76568871
               2.7639999                     -0.74511664
               2.7679999                     -0.72603547
               2.7720001                      -0.7084623
                   2.776                     -0.69239856
                    2.78                     -0.67782758
               2.7839999                       -0.664719
               2.7880001                     -0.65302032
               2.7920001                     -0.64266952
                   2.796                     -0.63358497
                     2.8                     -0.62567548
               2.8039999                     -0.61883646
               2.8080001                     -0.61295527
                   2.812                     -0.60790725
                   2.816                     -0.60356535
               2.8199999                     -0.59979526
               2.8239999                     -0.59646499
               2.8280001                     -0.59343896
                   2.832                     -0.59058609
                   2.836                      -0.5877804
               2.8399999                     -0.58490194
               2.8440001                     -0.58184224
                   2.848                     -0.57849927
                   2.852                     -0.57478749
               2.8559999                     -0.57063259
               2.8599999                     -0.56597698
               2.8640001                     -0.56077792
                   2.868                     -0.55500791
                   2.872                     -0.54865733
               2.8759999                     -0.54173053
               2.8800001                      -0.5342492
               2.8840001                     -0.52624877
                   2.888                     -0.51777701
                   2.892                     -0.50889614
               2.8959999                     -0.49967674
               2.9000001                     -0.49019786
                   2.904                       -0.480546
                   2.908                     -0.47081331
               2.9119999                     -0.46109452
               2.9159999                      -0.4514815
               2.9200001                     -0.44206964
                   2.924                      -0.4329477
                   2.928                     -0.42420308
               2.9319999                     -0.41591216
               2.9360001                     -0.40814768
