                  Frequency                        S11
                       1                      -0.3617214
               1.0039999                     -0.36505306
                   1.008                     -0.36830248
                   1.012                     -0.37149258
                   1.016                     -0.37464667
                    1.02                     -0.37778932
                   1.024                     -0.38094535
                   1.028                     -0.38413914
               1.0319999                      -0.3873956
                   1.036                     -0.39074016
                    1.04                     -0.39419736
                   1.044                     -0.39779204
                   1.048                     -0.40154776
                   1.052                     -0.40548833
                   1.056                     -0.40963665
               1.0599999                     -0.41401355
                   1.064                     -0.41864091
                   1.068                     -0.42353809
                   1.072                     -0.42872365
                   1.076                     -0.43421414
                    1.08                     -0.44002674
                   1.084                     -0.44617466
               1.0880001                     -0.45267176
                   1.092                     -0.45952919
                   1.096                     -0.46675669
                     1.1                     -0.47436424
                   1.104                     -0.48235733
                   1.108                     -0.49074202
                   1.112                     -0.49952231
               1.1160001                     -0.50869981
                    1.12                     -0.51827585
                   1.124                     -0.52825061
                   1.128                     -0.53862123
                   1.132                     -0.54938451
                   1.136                     -0.56053622
                    1.14                     -0.57207079
               1.1440001                     -0.58398148
                   1.148                     -0.59625918
                   1.152                      -0.6088978
                   1.156                     -0.62188511
                    1.16                     -0.63521139
                   1.164                     -0.64886674
                   1.168                       -0.662838
               1.1720001                     -0.67711512
                   1.176                     -0.69168416
               1.1799999                     -0.70653373
                   1.184                     -0.72165042
                   1.188                     -0.73702315
                   1.192                     -0.75263836
                   1.196                     -0.76848378
                     1.2                     -0.78454873
                   1.204                     -0.80082098
               1.2079999                     -0.81729061
                   1.212                     -0.83394726
                   1.216                     -0.85078167
                    1.22                     -0.86778651
                   1.224                     -0.88495196
                   1.228                      -0.9022737
                   1.232                     -0.91974545
               1.2359999                     -0.93736271
                    1.24                     -0.95512288
                   1.244                     -0.97302459
                   1.248                     -0.99106547
                   1.252                      -1.0092486
                   1.256                      -1.0275745
                    1.26                      -1.0460462
               1.2640001                      -1.0646689
                   1.268                      -1.0834477
                   1.272                      -1.1023913
                   1.276                      -1.1215077
                    1.28                      -1.1408061
                   1.284                      -1.1602962
                   1.288                      -1.1799923
               1.2920001                      -1.1999067
                   1.296                      -1.2200517
                     1.3                      -1.2404446
                   1.304                      -1.2611004
                   1.308                      -1.2820351
                   1.312                      -1.3032679
                   1.316                      -1.3248157
               1.3200001                      -1.3466975
                   1.324                      -1.3689323
               1.3279999                      -1.3915403
                   1.332                      -1.4145394
                   1.336                      -1.4379514
                    1.34                      -1.4617959
                   1.344                      -1.4860931
                   1.348                      -1.5108645
                   1.352                      -1.5361286
               1.3559999                      -1.5619052
                    1.36                      -1.5882152
                   1.364                      -1.6150762
                   1.368                       -1.642509
                   1.372                      -1.6705301
                   1.376                      -1.6991585
                    1.38                      -1.7284118
               1.3839999                      -1.7583052
                   1.388                       -1.788856
                   1.392                      -1.8200781
                   1.396                      -1.8519878
                     1.4                      -1.8845967
                   1.404                      -1.9179188
                   1.408                      -1.9519653
               1.4119999                      -1.9867485
                   1.416                      -2.0222785
                    1.42                      -2.0585632
                   1.424                      -2.0956122
                   1.428                      -2.1334343
                   1.432                      -2.1720343
                   1.436                      -2.2114192
               1.4400001                      -2.2515944
                   1.444                      -2.2925639
                   1.448                      -2.3343315
                   1.452                      -2.3768997
                   1.456                      -2.4202712
                    1.46                      -2.4644485
                   1.464                      -2.5094305
               1.4680001                      -2.5552193
                   1.472                      -2.6018141
                   1.476                      -2.6492141
                    1.48                      -2.6974194
                   1.484                      -2.7464281
                   1.488                      -2.7962379
                   1.492                      -2.8468482
               1.4960001                      -2.8982569
                     1.5                      -2.9504617
               1.5039999                        -3.00346
                   1.508                      -3.0572508
                   1.512                      -3.1118318
                   1.516                      -3.1672013
                    1.52                      -3.2233583
                   1.524                      -3.2802999
                   1.528                      -3.3380265
               1.5319999                      -3.3965385
                   1.536                      -3.4558331
                    1.54                      -3.5159134
                   1.544                      -3.5767786
                   1.548                      -3.6384324
                   1.552                      -3.7008756
                   1.556                      -3.7641115
               1.5599999                       -3.828144
                   1.564                      -3.8929768
                   1.568                      -3.9586176
                   1.572                      -4.0250704
