                Frequency                        S11
                       1                     -0.31978002
               1.0039999                      -0.3214553
                   1.008                     -0.32373271
                   1.012                     -0.32728278
                   1.016                     -0.33251957
                    1.02                     -0.33952062
                   1.024                     -0.34801415
                   1.028                     -0.35744261
               1.0319999                     -0.36707795
                   1.036                     -0.37618283
                    1.04                     -0.38416367
                   1.044                     -0.39069599
                   1.048                     -0.39579263
                   1.052                     -0.39979607
                   1.056                     -0.40330174
               1.0599999                     -0.40702907
                   1.064                     -0.41166763
                   1.068                     -0.41773233
                   1.072                     -0.42545919
                   1.076                     -0.43476021
                    1.08                     -0.44524453
                   1.084                     -0.45630629
               1.0880001                     -0.46725077
                   1.092                     -0.47744693
                   1.096                     -0.48645797
                     1.1                     -0.49413598
                   1.104                     -0.50064925
                   1.108                     -0.50644576
                   1.112                     -0.51215368
               1.1160001                     -0.51844811
                    1.12                     -0.52590708
                   1.124                     -0.53489431
                   1.128                     -0.54548353
                   1.132                     -0.55744981
                   1.136                     -0.57031524
                    1.14                     -0.58345817
               1.1440001                     -0.59623968
                   1.148                     -0.60814186
                   1.152                     -0.61887857
                   1.156                     -0.62845526
                    1.16                     -0.63716355
                   1.164                     -0.64552073
                   1.168                     -0.65415701
               1.1720001                     -0.66367892
                   1.176                     -0.67454851
               1.1799999                     -0.68698466
                   1.184                     -0.70092401
                   1.188                     -0.71603149
                   1.192                      -0.7317793
                   1.196                     -0.74755763
                     1.2                     -0.76280137
                   1.204                     -0.77711585
               1.2079999                     -0.79035575
                   1.212                     -0.80266062
                   1.216                     -0.81441832
                    1.22                     -0.82618519
                   1.224                     -0.83856759
                   1.228                     -0.85209445
                   1.232                     -0.86710733
               1.2359999                     -0.88369258
                    1.24                     -0.90166721
                   1.244                     -0.92061642
                   1.248                     -0.93998712
                   1.252                     -0.95920102
                   1.256                     -0.97778155
                    1.26                      -0.9954546
               1.2640001                      -1.0122056
                   1.268                      -1.0282846
                   1.272                        -1.04415
                   1.276                      -1.0603747
                    1.28                      -1.0775214
                   1.284                      -1.0960301
                   1.288                      -1.1161256
               1.2920001                      -1.1377757
                   1.296                      -1.1606955
                     1.3                      -1.1844168
                   1.304                      -1.2083794
                   1.308                      -1.2320595
                   1.312                      -1.2550729
                   1.316                      -1.2772652
               1.3200001                      -1.2987401
                   1.324                      -1.3198407
               1.3279999                      -1.3410744
                   1.332                      -1.3630083
                   1.336                        -1.38615
                    1.34                       -1.410845
                   1.344                      -1.4372023
                   1.348                      -1.4650813
                   1.352                      -1.4941149
               1.3559999                      -1.5237935
                    1.36                      -1.5535753
                   1.364                      -1.5829943
                   1.368                      -1.6117701
                   1.372                      -1.6398642
                   1.376                      -1.6674881
                    1.38                      -1.6950634
               1.3839999                      -1.7231322
                   1.388                      -1.7522422
                   1.392                      -1.7828377
                   1.396                      -1.8151627
                     1.4                      -1.8492174
                   1.404                       -1.884756
                   1.408                      -1.9213421
               1.4119999                      -1.9584396
                   1.416                      -1.9955286
                    1.42                      -2.0322152
                   1.424                      -2.0683226
                   1.428                      -2.1039221
                   1.432                      -2.1393291
                   1.436                      -2.1750342
               1.4400001                      -2.2116008
                   1.444                      -2.2495505
                   1.448                      -2.2892552
                   1.452                      -2.3308623
                   1.456                      -2.3742616
                    1.46                      -2.4191121
                   1.464                      -2.4649165
               1.4680001                      -2.5111211
                   1.472                      -2.5572398
                   1.476                      -2.6029553
                    1.48                      -2.6481921
                   1.484                      -2.6931362
                   1.488                      -2.7381961
                   1.492                      -2.7839231
               1.4960001                      -2.8308924
                     1.5                      -2.8795895
               1.5039999                      -2.9303074
                   1.508                      -2.9830858
                   1.512                      -3.0377038
                   1.516                      -3.0937287
                    1.52                      -3.1506006
                   1.524                      -3.2077602
                   1.528                      -3.2647579
               1.5319999                       -3.321365
                   1.536                      -3.3776158
                    1.54                      -3.4338111
                   1.544                      -3.4904582
                   1.548                      -3.5481621
                   1.552                      -3.6075047
                   1.556                      -3.6689264
               1.5599999                      -3.7326293
                   1.564                      -3.7985368
                   1.568                      -3.8663079
                   1.572                      -3.9354126
                   1.576                      -4.0052347
                    1.58                      -4.0752086
                   1.584                      -4.1449421
               1.5880001                      -4.2143002
                   1.592                      -4.2834467
                   1.596                      -4.3528075
                     1.6                        -4.42299
                   1.604                      -4.4946548
                   1.608                      -4.5683807
                   1.612                      -4.6445408
               1.6160001                      -4.7232251
                    1.62                       -4.804218
                   1.624                       -4.887041
                   1.628                      -4.9710503
                   1.632                      -5.0555715
                   1.636                      -5.1400453
                    1.64                       -5.224148
               1.6440001                      -5.3078756
                   1.648                      -5.3915403
                   1.652                      -5.4757212
                   1.656                      -5.5611373
                    1.66                       -5.648504
                   1.664                      -5.7383779
                   1.668                      -5.8310383
               1.6720001                      -5.9264247
                   1.676                      -6.0241424
               1.6799999                      -6.1235394
                   1.684                      -6.2238398
                   1.688                      -6.3243062
                   1.692                      -6.4244045
                   1.696                      -6.5239214
                     1.7                      -6.6230199
                   1.704                      -6.7222136
               1.7079999                      -6.8222649
                   1.712                       -6.924021
                   1.716                      -7.0282393
                    1.72                      -7.1354183
                   1.724                      -7.2456857
                   1.728                      -7.3587626
                   1.732                      -7.4740067
               1.7359999                      -7.5905406
                    1.74                       -7.707432
                   1.744                      -7.8238917
                   1.748                      -7.9394507
                   1.752                      -8.0540696
                   1.756                      -8.1681589
                    1.76                       -8.282496
               1.7640001                      -8.3980644
                   1.768                      -8.5158349
                   1.772                      -8.6365555
                   1.776                      -8.7605744
                    1.78                      -8.8877496
                   1.784                      -9.0174555
