Theta[deg.]      Phi[deg.]       Abs(Gain)[dBi]      Abs(Theta)[dBi]     Phase(Theta)[deg.]   Abs(Phi)[dBi]     Phase(Phi)[deg.]      Ax.Ratio[dB]    
   0.000           0.000            9.622e-01          -3.758e+01             320.440           9.616e-01              65.404           3.884e+01     
   1.000           0.000            9.617e-01          -3.833e+01             322.339           9.612e-01              65.412           3.952e+01     
   2.000           0.000            9.595e-01          -3.915e+01             324.615           9.591e-01              65.435           4.000e+01     
   3.000           0.000            9.556e-01          -4.003e+01             327.381           9.553e-01              65.472           4.000e+01     
   4.000           0.000            9.500e-01          -4.099e+01             330.798           9.497e-01              65.524           4.000e+01     
   5.000           0.000            9.427e-01          -4.203e+01             335.091           9.425e-01              65.590           4.000e+01     
   6.000           0.000            9.338e-01          -4.314e+01             340.572           9.336e-01              65.670           4.000e+01     
   7.000           0.000            9.232e-01          -4.429e+01             347.662           9.231e-01              65.765           4.000e+01     
   8.000           0.000            9.110e-01          -4.542e+01             356.855           9.109e-01              65.875           4.000e+01     
   9.000           0.000            8.972e-01          -4.638e+01               8.528           8.971e-01              65.998           4.000e+01     
  10.000           0.000            8.817e-01          -4.699e+01              22.482           8.817e-01              66.136           4.000e+01     
  11.000           0.000            8.648e-01          -4.705e+01              37.482           8.647e-01              66.288           4.000e+01     
  12.000           0.000            8.462e-01          -4.655e+01              51.644           8.461e-01              66.455           4.000e+01     
  13.000           0.000            8.262e-01          -4.567e+01              63.616           8.261e-01              66.635           4.000e+01     
  14.000           0.000            8.047e-01          -4.460e+01              73.095           8.045e-01              66.830           4.000e+01     
  15.000           0.000            7.817e-01          -4.350e+01              80.420           7.816e-01              67.039           4.000e+01     
  16.000           0.000            7.574e-01          -4.244e+01              86.086           7.572e-01              67.261           4.000e+01     
  17.000           0.000            7.317e-01          -4.145e+01              90.524           7.314e-01              67.498           4.000e+01     
  18.000           0.000            7.046e-01          -4.053e+01              94.061           7.043e-01              67.748           4.000e+01     
  19.000           0.000            6.763e-01          -3.969e+01              96.929           6.759e-01              68.012           4.000e+01     
  20.000           0.000            6.468e-01          -3.892e+01              99.295           6.463e-01              68.289           4.000e+01     
  21.000           0.000            6.161e-01          -3.821e+01             101.278           6.155e-01              68.580           4.000e+01     
  22.000           0.000            5.843e-01          -3.756e+01             102.962           5.836e-01              68.883           4.000e+01     
  23.000           0.000            5.514e-01          -3.695e+01             104.411           5.506e-01              69.200           4.000e+01     
  24.000           0.000            5.175e-01          -3.640e+01             105.672           5.166e-01              69.530           4.000e+01     
