Theta[deg.]      Phi[deg.]        Abs(Gain)[dBi]      Abs(Theta)[dBi]     Phase(Theta)[deg.]  Abs(Phi)[dBi]       Phase(Phi)[deg.]    Ax.Ratio[dB]    
   0.000          90.000            9.622e-01           9.616e-01              65.404          -3.758e+01             140.440           3.884e+01     
   1.000          90.000            1.127e+00           1.126e+00              65.837          -3.762e+01             140.757           3.905e+01     
   2.000          90.000            1.285e+00           1.284e+00              66.260          -3.767e+01             141.088           3.926e+01     
   3.000          90.000            1.436e+00           1.436e+00              66.675          -3.772e+01             141.431           3.947e+01     
   4.000          90.000            1.581e+00           1.581e+00              67.081          -3.777e+01             141.787           3.966e+01     
   5.000          90.000            1.720e+00           1.719e+00              67.479          -3.782e+01             142.155           3.985e+01     
   6.000          90.000            1.852e+00           1.852e+00              67.870          -3.787e+01             142.535           4.000e+01     
   7.000          90.000            1.978e+00           1.978e+00              68.253          -3.793e+01             142.927           4.000e+01     
   8.000          90.000            2.098e+00           2.097e+00              68.631          -3.799e+01             143.330           4.000e+01     
   9.000          90.000            2.211e+00           2.211e+00              69.001          -3.804e+01             143.745           4.000e+01     
  10.000          90.000            2.318e+00           2.318e+00              69.366          -3.810e+01             144.170           4.000e+01     
  11.000          90.000            2.420e+00           2.419e+00              69.725          -3.817e+01             144.607           4.000e+01     
  12.000          90.000            2.515e+00           2.514e+00              70.079          -3.823e+01             145.055           4.000e+01     
  13.000          90.000            2.603e+00           2.603e+00              70.428          -3.829e+01             145.513           4.000e+01     
  14.000          90.000            2.686e+00           2.686e+00              70.771          -3.836e+01             145.982           4.000e+01     
  15.000          90.000            2.763e+00           2.763e+00              71.110          -3.842e+01             146.460           4.000e+01     
  16.000          90.000            2.834e+00           2.834e+00              71.444          -3.849e+01             146.949           4.000e+01     
  17.000          90.000            2.899e+00           2.899e+00              71.774          -3.856e+01             147.447           4.000e+01     
  18.000          90.000            2.958e+00           2.957e+00              72.100          -3.863e+01             147.954           4.000e+01     
  19.000          90.000            3.011e+00           3.010e+00              72.421          -3.870e+01             148.470           4.000e+01     
  20.000          90.000            3.058e+00           3.058e+00              72.739          -3.877e+01             148.995           4.000e+01     
  21.000          90.000            3.099e+00           3.099e+00              73.053          -3.884e+01             149.528           4.000e+01     
  22.000          90.000            3.134e+00           3.134e+00              73.364          -3.892e+01             150.069           4.000e+01     
  23.000          90.000            3.164e+00           3.163e+00              73.671          -3.899e+01             150.619           4.000e+01     
  24.000          90.000            3.187e+00           3.187e+00              73.974          -3.906e+01             151.175           4.000e+01     
  25.000          90.000            3.205e+00           3.205e+00              74.275          -3.914e+01             151.739           4.000e+01     
  26.000          90.000            3.217e+00           3.216e+00              74.572          -3.921e+01             152.309           4.000e+01     
  27.000          90.000            3.223e+00           3.222e+00              74.866          -3.929e+01             152.886           4.000e+01     
  28.000          90.000            3.223e+00           3.222e+00              75.156          -3.936e+01             153.469           4.000e+01     
  29.000          90.000            3.217e+00           3.217e+00              75.444          -3.944e+01             154.057           4.000e+01     
  30.000          90.000            3.205e+00           3.205e+00              75.729          -3.951e+01             154.650           4.000e+01     
  31.000          90.000            3.188e+00           3.187e+00              76.011          -3.959e+01             155.249           4.000e+01     
  32.000          90.000            3.164e+00           3.164e+00              76.291          -3.967e+01             155.852           4.000e+01     
  33.000          90.000            3.134e+00           3.134e+00              76.567          -3.974e+01             156.459           4.000e+01     
  34.000          90.000            3.099e+00           3.099e+00              76.841          -3.982e+01             157.069           4.000e+01     
  35.000          90.000            3.057e+00           3.057e+00              77.111          -3.989e+01             157.683           4.000e+01     
  36.000          90.000            3.010e+00           3.009e+00              77.379          -3.997e+01             158.299           4.000e+01     
  37.000          90.000            2.956e+00           2.956e+00              77.645          -4.004e+01             158.918           4.000e+01     
  38.000          90.000            2.896e+00           2.896e+00              77.907          -4.012e+01             159.539           4.000e+01     
  39.000          90.000            2.830e+00           2.830e+00              78.167          -4.019e+01             160.162           4.000e+01     
  40.000          90.000            2.757e+00           2.757e+00              78.424          -4.026e+01             160.785           4.000e+01     
  41.000          90.000            2.678e+00           2.678e+00              78.678          -4.033e+01             161.409           4.000e+01     
  42.000          90.000            2.593e+00           2.593e+00              78.929          -4.041e+01             162.034           4.000e+01     
  43.000          90.000            2.501e+00           2.501e+00              79.178          -4.048e+01             162.658           4.000e+01     
  44.000          90.000            2.403e+00           2.402e+00              79.423          -4.055e+01             163.282           4.000e+01     
  45.000          90.000            2.297e+00           2.297e+00              79.666          -4.062e+01             163.905           4.000e+01     
  46.000          90.000            2.185e+00           2.185e+00              79.905          -4.069e+01             164.527           4.000e+01     
  47.000          90.000            2.066e+00           2.065e+00              80.142          -4.075e+01             165.147           4.000e+01     
  48.000          90.000            1.939e+00           1.939e+00              80.375          -4.082e+01             165.764           4.000e+01     
  49.000          90.000            1.805e+00           1.805e+00              80.605          -4.089e+01             166.380           4.000e+01     
  50.000          90.000            1.664e+00           1.663e+00              80.832          -4.095e+01             166.992           4.000e+01     
  51.000          90.000            1.514e+00           1.514e+00              81.055          -4.102e+01             167.602           4.000e+01     
  52.000          90.000            1.357e+00           1.357e+00              81.275          -4.108e+01             168.208           4.000e+01     
  53.000          90.000            1.191e+00           1.191e+00              81.492          -4.114e+01             168.810           4.000e+01     
  54.000          90.000            1.017e+00           1.017e+00              81.704          -4.120e+01             169.408           4.000e+01     
  55.000          90.000            8.344e-01           8.341e-01              81.913          -4.126e+01             170.001           4.000e+01     
  56.000          90.000            6.423e-01           6.420e-01              82.118          -4.132e+01             170.590           4.000e+01     
  57.000          90.000            4.407e-01           4.405e-01              82.318          -4.138e+01             171.174           4.000e+01     
  58.000          90.000            2.292e-01           2.289e-01              82.514          -4.144e+01             171.753           4.000e+01     
  59.000          90.000            7.340e-03           7.032e-03              82.706          -4.149e+01             172.326           4.000e+01     
  60.000          90.000           -2.254e-01          -2.257e-01              82.893          -4.155e+01             172.893           4.000e+01     
  61.000          90.000           -4.696e-01          -4.699e-01              83.074          -4.160e+01             173.455           4.000e+01     
  62.000          90.000           -7.258e-01          -7.262e-01              83.251          -4.165e+01             174.010           4.000e+01     
  63.000          90.000           -9.948e-01          -9.951e-01              83.421          -4.170e+01             174.559           4.000e+01     
  64.000          90.000           -1.277e+00          -1.278e+00              83.585          -4.175e+01             175.102           4.000e+01     
  65.000          90.000           -1.574e+00          -1.574e+00              83.743          -4.180e+01             175.638           4.000e+01     
  66.000          90.000           -1.886e+00          -1.887e+00              83.894          -4.185e+01             176.167           3.997e+01     
  67.000          90.000           -2.215e+00          -2.215e+00              84.037          -4.190e+01             176.689           3.969e+01     
  68.000          90.000           -2.561e+00          -2.561e+00              84.172          -4.194e+01             177.204           3.939e+01     
  69.000          90.000           -2.926e+00          -2.927e+00              84.298          -4.199e+01             177.712           3.908e+01     
  70.000          90.000           -3.312e+00          -3.313e+00              84.414          -4.203e+01             178.212           3.874e+01     
  71.000          90.000           -3.721e+00          -3.722e+00              84.519          -4.207e+01             178.705           3.837e+01     
  72.000          90.000           -4.154e+00          -4.155e+00              84.611          -4.211e+01             179.190           3.799e+01     
  73.000          90.000           -4.615e+00          -4.616e+00              84.689          -4.215e+01             179.668           3.757e+01     
  74.000          90.000           -5.107e+00          -5.108e+00              84.751          -4.219e+01             180.138           3.712e+01     
  75.000          90.000           -5.632e+00          -5.633e+00              84.794          -4.223e+01             180.600           3.664e+01     
  76.000          90.000           -6.196e+00          -6.197e+00              84.815          -4.227e+01             181.054           3.612e+01     
  77.000          90.000           -6.803e+00          -6.805e+00              84.810          -4.230e+01             181.501           3.556e+01     
  78.000          90.000           -7.461e+00          -7.463e+00              84.772          -4.234e+01             181.939           3.494e+01     
  79.000          90.000           -8.177e+00          -8.179e+00              84.696          -4.237e+01             182.368           3.427e+01     
  80.000          90.000           -8.963e+00          -8.965e+00              84.569          -4.240e+01             182.790           3.353e+01     
  81.000          90.000           -9.830e+00          -9.833e+00              84.377          -4.243e+01             183.203           3.271e+01     
  82.000          90.000           -1.080e+01          -1.080e+01              84.098          -4.247e+01             183.608           3.178e+01     
  83.000          90.000           -1.189e+01          -1.190e+01              83.698          -4.249e+01             184.004           3.074e+01     
  84.000          90.000           -1.315e+01          -1.315e+01              83.121          -4.252e+01             184.391           2.954e+01     
  85.000          90.000           -1.462e+01          -1.463e+01              82.272          -4.255e+01             184.770           2.813e+01     
  86.000          90.000           -1.639e+01          -1.640e+01              80.966          -4.257e+01             185.140           2.644e+01     
