                 Frequency                       S11
                       1                     -0.28905631
               1.0039999                     -0.29594215
                   1.008                     -0.30444951
                   1.012                     -0.31340378
                   1.016                     -0.32143239
                    1.02                     -0.32790786
                   1.024                     -0.33337635
                   1.028                     -0.33917703
               1.0319999                     -0.34651641
                   1.036                     -0.35565136
                    1.04                     -0.36572044
                   1.044                     -0.37534423
                   1.048                     -0.38357855
                   1.052                     -0.39055411
                   1.056                     -0.39738115
               1.0599999                     -0.40537394
                   1.064                      -0.4151554
                   1.068                     -0.42623472
                   1.072                     -0.43736149
                   1.076                       -0.447388
                    1.08                     -0.45606565
                   1.084                     -0.46420596
               1.0880001                     -0.47312072
                   1.092                      -0.4837195
                   1.096                     -0.49589348
                     1.1                     -0.50860658
                   1.104                     -0.52061589
                   1.108                     -0.53133492
                   1.112                     -0.54123684
               1.1160001                     -0.55152062
                    1.12                     -0.56328188
                   1.124                     -0.57675851
                   1.128                     -0.59117065
                   1.132                     -0.60526299
                   1.136                     -0.61817258
                    1.14                     -0.63002976
               1.1440001                     -0.64187335
                   1.148                      -0.6549399
                   1.152                     -0.66981688
                   1.156                     -0.68604874
                    1.16                     -0.70244959
                   1.164                     -0.71791988
                   1.168                      -0.7321992
               1.1720001                      -0.7460507
                   1.176                     -0.76073435
               1.1799999                      -0.7771578
                   1.184                     -0.79525748
                   1.188                     -0.81405684
                   1.192                     -0.83233935
                   1.196                     -0.84948399
                     1.2                     -0.86589419
                   1.204                     -0.88271672
               1.2079999                     -0.90106143
                   1.212                     -0.92124515
                   1.216                     -0.94259235
                    1.22                     -0.96389832
                   1.224                     -0.98426801
                   1.228                      -1.0037262
                   1.232                      -1.0232015
               1.2359999                      -1.0438895
                    1.24                      -1.0664348
                   1.244                      -1.0905004
                   1.248                      -1.1150058
                   1.252                      -1.1388771
                   1.256                      -1.1617932
                    1.26                      -1.1844106
               1.2640001                      -1.2079221
                   1.268                      -1.2332383
                   1.272                      -1.2603755
                   1.276                      -1.2884437
                    1.28                      -1.3162608
                   1.284                       -1.343167
                   1.288                      -1.3694833
               1.2920001                       -1.396298
                   1.296                      -1.4247317
                     1.3                      -1.4551805
                   1.304                      -1.4870529
                   1.308                      -1.5191835
                   1.312                      -1.5506324
                   1.316                      -1.5813355
               1.3200001                      -1.6121556
                   1.324                      -1.6442987
               1.3279999                      -1.6784955
                   1.332                      -1.7145153
                   1.336                       -1.751329
                    1.34                      -1.7878203
                   1.344                      -1.8235574
                   1.348                      -1.8590943
                   1.352                       -1.895605
               1.3559999                      -1.9340815
                    1.36                      -1.9746689
                   1.364                       -2.016573
                   1.368                       -2.058607
                   1.372                      -2.1000131
                   1.376                      -2.1409895
                    1.38                      -2.1825686
               1.3839999                      -2.2259159
                   1.388                      -2.2715449
                   1.392                       -2.318971
                   1.396                      -2.3670472
                     1.4                      -2.4147566
                   1.404                      -2.4619212
                   1.408                      -2.5093385
               1.4119999                      -2.5582555
                   1.416                      -2.6095225
                    1.42                      -2.6630237
                   1.424                      -2.7177517
                   1.428                      -2.7724983
                   1.432                      -2.8266863
                   1.436                      -2.8807783
               1.4400001                      -2.9359762
                   1.444                      -2.9934204
                   1.448                      -3.0534211
                   1.452                      -3.1152536
                   1.456                      -3.1776579
                    1.46                      -3.2397022
                   1.464                      -3.3014377
               1.4680001                      -3.3638808
                   1.472                      -3.4283328
                   1.476                      -3.4955093
                    1.48                       -3.565052
                   1.484                      -3.6357772
                   1.488                      -3.7064853
                   1.492                      -3.7767911
               1.4960001                      -3.8474106
                     1.5                      -3.9196918
               1.5039999                      -3.9947108
                   1.508                      -4.0725476
                   1.512                      -4.1522338
                   1.516                      -4.2324106
                    1.52                       -4.312271
                   1.524                      -4.3921327
                   1.528                      -4.4732465
               1.5319999                      -4.5569684
                   1.536                       -4.643837
                    1.54                      -4.7332177
                   1.544                      -4.8237205
                   1.548                       -4.914158
                   1.552                      -5.0043795
                   1.556                      -5.0954031
               1.5599999                       -5.188757
                   1.564                      -5.2854507
                   1.568                      -5.3852969
                   1.572                      -5.4870296
                   1.576                      -5.5891651
                    1.58                      -5.6910316
                   1.584                      -5.7932612
               1.5880001                      -5.8973985
                   1.592                      -6.0048711
                   1.596                      -6.1160379
                     1.6                      -6.2299297
                   1.604                      -6.3449095
                   1.608                      -6.4597993
                   1.612                      -6.5747194
               1.6160001                      -6.6910563
                    1.62                      -6.8105547
                   1.624                      -6.9341507
                   1.628                      -7.0613342
                   1.632                      -7.1904831
                   1.636                       -7.319977
                    1.64                      -7.4493404
               1.6440001                      -7.5796269
                   1.648                       -7.712763
                   1.652                       -7.850271
                   1.656                      -7.9922447
                    1.66                      -8.1372661
                   1.664                      -8.2833686
                   1.668                      -8.4294027
               1.6720001                      -8.5758928
                   1.676                      -8.7247605
               1.6799999                      -8.8780778
                   1.684                       -9.036691
                   1.688                      -9.1996361
                   1.692                      -9.3647901
                   1.696                      -9.5303318
                     1.7                      -9.6960699
                   1.704                      -9.8636729
               1.7079999                      -10.035639
                   1.712                       -10.21364
                   1.716                      -10.397409
                    1.72                      -10.584903
                   1.724                      -10.773705
                   1.728                      -10.962763
                   1.732                      -11.153256
               1.7359999                      -11.347944
                    1.74                      -11.549408
                   1.744                       -11.75834
                   1.748                      -11.973074
                   1.752                      -12.190714
                   1.756                      -12.409186
                    1.76                       -12.62884
