Theta [deg.]     Phi[deg.]       Abs(Gain)[dBi]      Abs(Theta)[dBi]   Phase(Theta)[deg.]     Abs(Phi)[dBi]      Phase(Phi)[deg.]      Ax.Ratio[dB]    
   0.000           0.000            1.616e+00          -5.907e+01             324.050           1.616e+00              93.174           4.000e+01     
   1.000           0.000            1.616e+00          -6.923e+01             357.416           1.616e+00              93.177           4.000e+01     
   2.000           0.000            1.614e+00          -6.365e+01             108.647           1.614e+00              93.187           4.000e+01     
   3.000           0.000            1.612e+00          -5.662e+01             121.249           1.612e+00              93.204           4.000e+01     
   4.000           0.000            1.609e+00          -5.272e+01             124.791           1.609e+00              93.228           4.000e+01     
   5.000           0.000            1.606e+00          -5.002e+01             126.432           1.606e+00              93.258           4.000e+01     
   6.000           0.000            1.601e+00          -4.797e+01             127.370           1.601e+00              93.296           4.000e+01     
   7.000           0.000            1.596e+00          -4.631e+01             127.967           1.596e+00              93.340           4.000e+01     
   8.000           0.000            1.590e+00          -4.492e+01             128.375           1.589e+00              93.392           4.000e+01     
   9.000           0.000            1.583e+00          -4.373e+01             128.664           1.582e+00              93.450           4.000e+01     
  10.000           0.000            1.575e+00          -4.268e+01             128.875           1.575e+00              93.515           4.000e+01     
  11.000           0.000            1.566e+00          -4.175e+01             129.029           1.566e+00              93.586           4.000e+01     
  12.000           0.000            1.557e+00          -4.091e+01             129.142           1.557e+00              93.665           4.000e+01     
  13.000           0.000            1.547e+00          -4.015e+01             129.222           1.547e+00              93.749           4.000e+01     
  14.000           0.000            1.536e+00          -3.946e+01             129.277           1.536e+00              93.841           4.000e+01     
  15.000           0.000            1.525e+00          -3.882e+01             129.311           1.525e+00              93.939           4.000e+01     
  16.000           0.000            1.513e+00          -3.822e+01             129.327           1.513e+00              94.043           4.000e+01     
  17.000           0.000            1.500e+00          -3.767e+01             129.328           1.500e+00              94.154           4.000e+01     
  18.000           0.000            1.487e+00          -3.716e+01             129.315           1.486e+00              94.271           4.000e+01     
  19.000           0.000            1.473e+00          -3.667e+01             129.291           1.472e+00              94.394           4.000e+01     
  20.000           0.000            1.458e+00          -3.622e+01             129.256           1.457e+00              94.523           4.000e+01     
  21.000           0.000            1.443e+00          -3.579e+01             129.211           1.442e+00              94.658           4.000e+01     
  22.000           0.000            1.427e+00          -3.539e+01             129.157           1.426e+00              94.799           4.000e+01     
  23.000           0.000            1.411e+00          -3.501e+01             129.094           1.410e+00              94.946           4.000e+01     
  24.000           0.000            1.394e+00          -3.465e+01             129.023           1.393e+00              95.099           4.000e+01     
  25.000           0.000            1.376e+00          -3.430e+01             128.944           1.375e+00              95.257           4.000e+01     
  26.000           0.000            1.359e+00          -3.397e+01             128.857           1.357e+00              95.421           4.000e+01     
  27.000           0.000            1.340e+00          -3.366e+01             128.764           1.339e+00              95.590           4.000e+01     
  28.000           0.000            1.322e+00          -3.336e+01             128.663           1.320e+00              95.764           3.999e+01     
  29.000           0.000            1.303e+00          -3.308e+01             128.555           1.301e+00              95.944           3.975e+01     
  30.000           0.000            1.283e+00          -3.281e+01             128.441           1.282e+00              96.128           3.953e+01     
  31.000           0.000            1.264e+00          -3.255e+01             128.320           1.262e+00              96.317           3.933e+01     
  32.000           0.000            1.244e+00          -3.230e+01             128.192           1.242e+00              96.511           3.914e+01     
  33.000           0.000            1.223e+00          -3.206e+01             128.058           1.221e+00              96.709           3.896e+01     
  34.000           0.000            1.203e+00          -3.183e+01             127.917           1.201e+00              96.912           3.880e+01     
  35.000           0.000            1.182e+00          -3.162e+01             127.770           1.180e+00              97.119           3.865e+01     
  36.000           0.000            1.162e+00          -3.141e+01             127.617           1.159e+00              97.330           3.851e+01     
  37.000           0.000            1.141e+00          -3.120e+01             127.457           1.138e+00              97.545           3.839e+01     
  38.000           0.000            1.120e+00          -3.101e+01             127.290           1.117e+00              97.764           3.828e+01     
  39.000           0.000            1.099e+00          -3.082e+01             127.118           1.096e+00              97.986           3.818e+01     
  40.000           0.000            1.078e+00          -3.064e+01             126.939           1.075e+00              98.212           3.809e+01     
  41.000           0.000            1.057e+00          -3.047e+01             126.753           1.054e+00              98.441           3.801e+01     
  42.000           0.000            1.036e+00          -3.031e+01             126.561           1.033e+00              98.673           3.794e+01     
  43.000           0.000            1.015e+00          -3.015e+01             126.363           1.012e+00              98.908           3.789e+01     
  44.000           0.000            9.945e-01          -3.000e+01             126.158           9.911e-01              99.145           3.785e+01     
  45.000           0.000            9.741e-01          -2.985e+01             125.947           9.705e-01              99.385           3.782e+01     
  46.000           0.000            9.538e-01          -2.971e+01             125.729           9.501e-01              99.627           3.779e+01     
  47.000           0.000            9.339e-01          -2.957e+01             125.505           9.300e-01              99.871           3.778e+01     
  48.000           0.000            9.142e-01          -2.944e+01             125.274           9.102e-01             100.117           3.779e+01     
  49.000           0.000            8.948e-01          -2.931e+01             125.037           8.907e-01             100.364           3.780e+01     
