Theta[deg.]      Phi[deg.]       Abs(Gain)[dBi]      Abs(Theta)[dBi]    Phase(Theta)[deg.]    Abs(Phi)[dBi]     Phase(Phi)[deg.]      Ax.Ratio[dB]    
   0.000          90.000            1.616e+00           1.616e+00              93.174          -5.907e+01             144.050           4.000e+01     
   1.000          90.000            1.712e+00           1.712e+00              93.436          -5.912e+01             145.429           4.000e+01     
   2.000          90.000            1.802e+00           1.802e+00              93.693          -5.917e+01             146.823           4.000e+01     
   3.000          90.000            1.888e+00           1.888e+00              93.945          -5.922e+01             148.233           4.000e+01     
   4.000          90.000            1.969e+00           1.969e+00              94.192          -5.926e+01             149.653           4.000e+01     
   5.000          90.000            2.046e+00           2.046e+00              94.434          -5.929e+01             151.082           4.000e+01     
   6.000          90.000            2.117e+00           2.117e+00              94.671          -5.931e+01             152.513           4.000e+01     
   7.000          90.000            2.184e+00           2.184e+00              94.904          -5.933e+01             153.944           4.000e+01     
   8.000          90.000            2.246e+00           2.246e+00              95.132          -5.934e+01             155.371           4.000e+01     
   9.000          90.000            2.303e+00           2.303e+00              95.355          -5.934e+01             156.788           4.000e+01     
  10.000          90.000            2.356e+00           2.356e+00              95.574          -5.934e+01             158.193           4.000e+01     
  11.000          90.000            2.403e+00           2.403e+00              95.789          -5.933e+01             159.580           4.000e+01     
  12.000          90.000            2.446e+00           2.446e+00              95.999          -5.931e+01             160.947           4.000e+01     
  13.000          90.000            2.485e+00           2.485e+00              96.205          -5.929e+01             162.289           4.000e+01     
  14.000          90.000            2.518e+00           2.518e+00              96.407          -5.926e+01             163.603           4.000e+01     
  15.000          90.000            2.547e+00           2.547e+00              96.604          -5.922e+01             164.886           4.000e+01     
  16.000          90.000            2.571e+00           2.571e+00              96.797          -5.917e+01             166.135           4.000e+01     
  17.000          90.000            2.590e+00           2.590e+00              96.986          -5.912e+01             167.347           4.000e+01     
  18.000          90.000            2.605e+00           2.605e+00              97.171          -5.907e+01             168.521           4.000e+01     
  19.000          90.000            2.614e+00           2.614e+00              97.352          -5.901e+01             169.653           4.000e+01     
  20.000          90.000            2.619e+00           2.619e+00              97.528          -5.895e+01             170.743           4.000e+01     
  21.000          90.000            2.619e+00           2.619e+00              97.700          -5.888e+01             171.789           4.000e+01     
  22.000          90.000            2.614e+00           2.614e+00              97.868          -5.880e+01             172.790           4.000e+01     
  23.000          90.000            2.605e+00           2.605e+00              98.032          -5.873e+01             173.747           4.000e+01     
  24.000          90.000            2.591e+00           2.591e+00              98.192          -5.865e+01             174.657           4.000e+01     
  25.000          90.000            2.571e+00           2.571e+00              98.347          -5.857e+01             175.522           4.000e+01     
  26.000          90.000            2.547e+00           2.547e+00              98.498          -5.849e+01             176.341           4.000e+01     
  27.000          90.000            2.518e+00           2.518e+00              98.644          -5.840e+01             177.115           4.000e+01     
  28.000          90.000            2.484e+00           2.484e+00              98.786          -5.831e+01             177.845           4.000e+01     
