                Frequency                        S11
                       1                     -0.30327633
               1.0039999                     -0.30808051
                   1.008                      -0.3137523
                   1.012                     -0.32112759
                   1.016                     -0.32997441
                    1.02                     -0.33916126
                   1.024                     -0.34743618
                   1.028                     -0.35428045
               1.0319999                     -0.36026006
                   1.036                     -0.36663289
                    1.04                     -0.37448735
                   1.044                     -0.38400701
                   1.048                     -0.39434943
                   1.052                     -0.40422402
                   1.056                     -0.41277537
               1.0599999                     -0.42016259
                   1.064                     -0.42745283
                   1.068                     -0.43589278
                   1.072                     -0.44607033
                   1.076                     -0.45752737
                    1.08                     -0.46907824
                   1.084                     -0.47961891
               1.0880001                     -0.48888119
                   1.092                     -0.49760978
                   1.096                     -0.50705001
                     1.1                      -0.5180994
                   1.104                     -0.53070328
                   1.108                     -0.54389504
                   1.112                     -0.55645171
               1.1160001                     -0.56772924
                    1.12                     -0.57809481
                   1.124                     -0.58868041
                   1.128                     -0.60061564
                   1.132                     -0.61427399
                   1.136                     -0.62902999
                    1.14                     -0.64369611
               1.1440001                     -0.65733196
                   1.148                     -0.66988095
                   1.152                     -0.68221124
                   1.156                     -0.69551496
                    1.16                     -0.71050742
                   1.164                     -0.72694573
                   1.168                     -0.74380265
               1.1720001                     -0.75996649
                   1.176                     -0.77500183
               1.1799999                     -0.78944268
                   1.184                     -0.80443248
                   1.188                     -0.82094714
                   1.192                     -0.83914192
                   1.196                     -0.85825321
                     1.2                     -0.87711933
                   1.204                     -0.89497554
               1.2079999                     -0.91197206
                   1.212                     -0.92907644
                   1.216                     -0.94742007
                    1.22                     -0.96753832
                   1.224                     -0.98901777
                   1.228                      -1.0107814
                   1.232                      -1.0318196
               1.2359999                      -1.0518793
                    1.24                      -1.0716299
                   1.244                      -1.0922103
                   1.248                      -1.1144588
                   1.252                      -1.1383545
                   1.256                      -1.1630426
                    1.26                      -1.1874186
               1.2640001                      -1.2108876
                   1.268                      -1.2337792
                   1.272                      -1.2571203
                   1.276                      -1.2819536
                    1.28                      -1.3086285
                   1.284                      -1.3365717
                   1.288                      -1.3646791
               1.2920001                      -1.3920604
                   1.296                      -1.4186503
                     1.3                      -1.4452587
                   1.304                      -1.4730262
                   1.308                       -1.502661
                   1.312                       -1.533972
                   1.316                      -1.5660011
               1.3200001                      -1.5976762
                   1.324                       -1.628546
               1.3279999                      -1.6590842
                   1.332                      -1.6903816
                   1.336                      -1.7234077
                    1.34                      -1.7583668
                   1.344                      -1.7945598
                   1.348                      -1.8308646
                   1.352                      -1.8664983
               1.3559999                      -1.9015562
                    1.36                      -1.9369576
                   1.364                      -1.9738342
                   1.368                      -2.0127744
                   1.372                      -2.0534317
                   1.376                      -2.0947662
                    1.38                      -2.1357425
               1.3839999                      -2.1760392
                   1.388                      -2.2162711
                   1.392                      -2.2575859
                   1.396                      -2.3008933
                     1.4                      -2.3462586
                   1.404                      -2.3928696
                   1.408                       -2.439579
               1.4119999                      -2.4856939
                   1.416                      -2.5314485
                    1.42                       -2.577861
                   1.424                      -2.6260535
                   1.428                      -2.6765076
                   1.432                      -2.7287407
                   1.436                      -2.7816402
               1.4400001                      -2.8342123
                   1.444                      -2.8862665
                   1.448                      -2.9385553
                   1.452                      -2.9922752
                   1.456                      -3.0482704
                    1.46                      -3.1064614
                   1.464                      -3.1659057
               1.4680001                      -3.2254306
                   1.472                       -3.284437
                   1.476                      -3.3433178
                    1.48                      -3.4032156
                   1.484                      -3.4652609
                   1.488                      -3.5298219
                   1.492                      -3.5962572
               1.4960001                      -3.6633408
                     1.5                      -3.7300956
               1.5039999                      -3.7964593
                   1.508                      -3.8633502
                   1.512                      -3.9320575
                   1.516                      -4.0033898
                    1.52                      -4.0771346
                   1.524                      -4.1521938
                   1.528                      -4.2273308
               1.5319999                      -4.3020074
                   1.536                      -4.3767687
                    1.54                      -4.4528928
                   1.544                       -4.531544
                   1.548                      -4.6130013
                   1.552                      -4.6964624
                   1.556                      -4.7805877
               1.5599999                      -4.8644082
                   1.564                       -4.948001
                   1.568                      -5.0324599
                   1.572                       -5.119177
                   1.576                      -5.2089179
                    1.58                       -5.301296
                   1.584                      -5.3950301
               1.5880001                      -5.4888022
                   1.592                      -5.5821638
                   1.596                      -5.6758692
                     1.6                      -5.7713963
                   1.604                      -5.8699731
                   1.608                      -5.9717571
                   1.612                      -6.0757182
               1.6160001                      -6.1803282
                    1.62                      -6.2845971
                   1.624                      -6.3887722
                   1.628                      -6.4942033
                   1.632                      -6.6024651
                   1.636                      -6.7143093
                    1.64                      -6.8291504
               1.6440001                      -6.9454493
                   1.648                      -7.0617509
                   1.652                      -7.1776906
                   1.656                      -7.2942873
                    1.66                      -7.4132953
                   1.664                      -7.5360518
                   1.668                      -7.6625774
               1.6720001                      -7.7915485
                   1.676                       -7.921184
               1.6799999                        -8.05046
                   1.684                      -8.1798558
                   1.688                      -8.3110844
                   1.692                      -8.4459801
                   1.696                      -8.5852791
                     1.7                      -8.7281112
                   1.704                      -8.8725714
               1.7079999                      -9.0170097
                   1.712                      -9.1612016
                   1.716                      -9.3065723
                    1.72                      -9.4553085
                   1.724                      -9.6089179
                   1.728                      -9.7672202
                   1.732                      -9.9284408
               1.7359999                      -10.090404
                    1.74                      -10.252039
                   1.744                      -10.414206
                   1.748                      -10.579208
                   1.752                      -10.749323
                   1.756                      -10.925294
                    1.76                      -11.105813
               1.7640001                      -11.288385
                   1.768                      -11.471039
                   1.772                      -11.653752
                   1.776                      -11.838621
                    1.78                      -12.028556
                   1.784                      -12.225403
                   1.788                      -12.428708
               1.7920001                      -12.636005
