Theta[deg.]      Phi[deg.]       Abs(Gain)[dBi]     Abs(Theta)[dBi]    Phase(Theta)[deg.]     Abs(Phi)[dBi]     Phase(Phi)[deg.]      Ax.Ratio[dB]    
   0.000           0.000            2.296e+00          -5.129e+01             347.498           2.296e+00              94.777           4.000e+01     
   1.000           0.000            2.295e+00          -5.368e+01             356.478           2.295e+00              94.779           4.000e+01     
   2.000           0.000            2.293e+00          -5.644e+01              12.865           2.293e+00              94.788           4.000e+01     
   3.000           0.000            2.290e+00          -5.854e+01              42.460           2.290e+00              94.804           4.000e+01     
   4.000           0.000            2.286e+00          -5.778e+01              77.661           2.286e+00              94.827           4.000e+01     
   5.000           0.000            2.280e+00          -5.513e+01             100.521           2.280e+00              94.857           4.000e+01     
   6.000           0.000            2.274e+00          -5.251e+01             112.714           2.274e+00              94.893           4.000e+01     
   7.000           0.000            2.266e+00          -5.033e+01             119.670           2.266e+00              94.936           4.000e+01     
   8.000           0.000            2.257e+00          -4.852e+01             124.035           2.257e+00              94.986           4.000e+01     
   9.000           0.000            2.246e+00          -4.700e+01             126.988           2.246e+00              95.042           4.000e+01     
  10.000           0.000            2.235e+00          -4.570e+01             129.101           2.235e+00              95.105           4.000e+01     
  11.000           0.000            2.222e+00          -4.457e+01             130.677           2.222e+00              95.175           4.000e+01     
  12.000           0.000            2.209e+00          -4.357e+01             131.889           2.209e+00              95.251           4.000e+01     
  13.000           0.000            2.194e+00          -4.267e+01             132.844           2.194e+00              95.334           4.000e+01     
  14.000           0.000            2.178e+00          -4.186e+01             133.609           2.178e+00              95.424           4.000e+01     
  15.000           0.000            2.161e+00          -4.112e+01             134.232           2.161e+00              95.519           4.000e+01     
  16.000           0.000            2.143e+00          -4.045e+01             134.743           2.143e+00              95.622           4.000e+01     
  17.000           0.000            2.124e+00          -3.983e+01             135.165           2.124e+00              95.730           4.000e+01     
  18.000           0.000            2.104e+00          -3.925e+01             135.515           2.104e+00              95.845           4.000e+01     
  19.000           0.000            2.083e+00          -3.872e+01             135.805           2.083e+00              95.966           4.000e+01     
  20.000           0.000            2.061e+00          -3.822e+01             136.045           2.061e+00              96.093           4.000e+01     
  21.000           0.000            2.038e+00          -3.775e+01             136.243           2.038e+00              96.226           4.000e+01     
  22.000           0.000            2.014e+00          -3.731e+01             136.404           2.014e+00              96.365           4.000e+01     
  23.000           0.000            1.989e+00          -3.690e+01             136.532           1.989e+00              96.510           4.000e+01     
  24.000           0.000            1.964e+00          -3.652e+01             136.632           1.963e+00              96.661           4.000e+01     
  25.000           0.000            1.938e+00          -3.615e+01             136.707           1.937e+00              96.817           4.000e+01     
