Theta[deg.]     Phi[deg.]         Abs(Gain)[dBi]      Abs(Theta)[dBi]    Phase(Theta)[deg.]   Abs(Phi)[dBi]      Phase(Phi)[deg.]     Ax.Ratio[dB]    
   0.000          90.000            2.296e+00           2.296e+00              94.777          -5.129e+01             167.498           4.000e+01     
   1.000          90.000            2.382e+00           2.382e+00              95.034          -5.159e+01             168.208           4.000e+01     
   2.000          90.000            2.463e+00           2.463e+00              95.288          -5.191e+01             168.971           4.000e+01     
   3.000          90.000            2.540e+00           2.540e+00              95.539          -5.223e+01             169.794           4.000e+01     
   4.000          90.000            2.612e+00           2.612e+00              95.786          -5.256e+01             170.681           4.000e+01     
   5.000          90.000            2.679e+00           2.679e+00              96.029          -5.290e+01             171.639           4.000e+01     
   6.000          90.000            2.742e+00           2.742e+00              96.269          -5.325e+01             172.674           4.000e+01     
   7.000          90.000            2.800e+00           2.800e+00              96.506          -5.361e+01             173.793           4.000e+01     
   8.000          90.000            2.854e+00           2.854e+00              96.739          -5.398e+01             175.004           4.000e+01     
   9.000          90.000            2.903e+00           2.903e+00              96.970          -5.437e+01             176.316           4.000e+01     
  10.000          90.000            2.947e+00           2.947e+00              97.197          -5.476e+01             177.739           4.000e+01     
  11.000          90.000            2.986e+00           2.986e+00              97.421          -5.516e+01             179.283           4.000e+01     
  12.000          90.000            3.021e+00           3.021e+00              97.642          -5.557e+01             180.962           4.000e+01     
  13.000          90.000            3.052e+00           3.052e+00              97.860          -5.599e+01             182.787           4.000e+01     
  14.000          90.000            3.077e+00           3.077e+00              98.075          -5.642e+01             184.774           4.000e+01     
  15.000          90.000            3.098e+00           3.098e+00              98.287          -5.685e+01             186.938           4.000e+01     
  16.000          90.000            3.114e+00           3.114e+00              98.496          -5.729e+01             189.296           4.000e+01     
  17.000          90.000            3.126e+00           3.126e+00              98.702          -5.772e+01             191.862           4.000e+01     
  18.000          90.000            3.133e+00           3.133e+00              98.906          -5.816e+01             194.654           4.000e+01     
