Theta[deg.]      Phi[deg.]       Abs(Gain)[dBi]      Abs(Theta)[dBi]    Phase(Theta)[deg.]    Abs(Phi)[dBi]     Phase(Phi)[deg.]      Ax.Ratio[dB]    
   0.000           0.000            2.570e+00          -4.995e+01             357.120           2.570e+00              94.196           4.000e+01     
   1.000           0.000            2.569e+00          -5.176e+01               4.739           2.569e+00              94.199           4.000e+01     
   2.000           0.000            2.567e+00          -5.376e+01              16.605           2.567e+00              94.208           4.000e+01     
   3.000           0.000            2.563e+00          -5.558e+01              35.205           2.563e+00              94.224           4.000e+01     
   4.000           0.000            2.558e+00          -5.631e+01              60.513           2.558e+00              94.247           4.000e+01     
   5.000           0.000            2.552e+00          -5.534e+01              85.055           2.552e+00              94.277           4.000e+01     
   6.000           0.000            2.544e+00          -5.345e+01             102.417           2.544e+00              94.314           4.000e+01     
   7.000           0.000            2.535e+00          -5.148e+01             113.418           2.535e+00              94.358           4.000e+01     
   8.000           0.000            2.524e+00          -4.971e+01             120.513           2.524e+00              94.409           4.000e+01     
   9.000           0.000            2.512e+00          -4.817e+01             125.323           2.512e+00              94.466           4.000e+01     
  10.000           0.000            2.499e+00          -4.683e+01             128.746           2.499e+00              94.531           4.000e+01     
  11.000           0.000            2.485e+00          -4.565e+01             131.282           2.485e+00              94.602           4.000e+01     
  12.000           0.000            2.469e+00          -4.461e+01             133.224           2.469e+00              94.680           4.000e+01     
  13.000           0.000            2.452e+00          -4.368e+01             134.750           2.451e+00              94.764           4.000e+01     
  14.000           0.000            2.433e+00          -4.284e+01             135.973           2.433e+00              94.856           4.000e+01     
  15.000           0.000            2.413e+00          -4.208e+01             136.969           2.413e+00              94.954           4.000e+01     
  16.000           0.000            2.392e+00          -4.138e+01             137.792           2.392e+00              95.058           4.000e+01     
  17.000           0.000            2.370e+00          -4.075e+01             138.478           2.370e+00              95.169           4.000e+01     
  18.000           0.000            2.347e+00          -4.016e+01             139.054           2.347e+00              95.287           4.000e+01     
  19.000           0.000            2.322e+00          -3.961e+01             139.540           2.322e+00              95.411           4.000e+01     
  20.000           0.000            2.297e+00          -3.910e+01             139.953           2.296e+00              95.541           4.000e+01     
  21.000           0.000            2.270e+00          -3.862e+01             140.303           2.270e+00              95.677           4.000e+01     
  22.000           0.000            2.242e+00          -3.818e+01             140.599           2.242e+00              95.820           4.000e+01     
  23.000           0.000            2.213e+00          -3.776e+01             140.850           2.213e+00              95.969           4.000e+01     
  24.000           0.000            2.184e+00          -3.737e+01             141.060           2.183e+00              96.124           4.000e+01     
  25.000           0.000            2.153e+00          -3.700e+01             141.235           2.152e+00              96.285           4.000e+01     
  26.000           0.000            2.121e+00          -3.666e+01             141.379           2.120e+00              96.452           4.000e+01     
  27.000           0.000            2.088e+00          -3.633e+01             141.494           2.088e+00              96.624           4.000e+01     
  28.000           0.000            2.055e+00          -3.602e+01             141.584           2.054e+00              96.802           4.000e+01     
  29.000           0.000            2.020e+00          -3.573e+01             141.650           2.020e+00              96.986           4.000e+01     
  30.000           0.000            1.985e+00          -3.545e+01             141.694           1.984e+00              97.175           4.000e+01     
  31.000           0.000            1.949e+00          -3.519e+01             141.719           1.949e+00              97.369           4.000e+01     
  32.000           0.000            1.913e+00          -3.494e+01             141.724           1.912e+00              97.569           3.999e+01     
  33.000           0.000            1.876e+00          -3.470e+01             141.712           1.875e+00              97.774           3.975e+01     
  34.000           0.000            1.838e+00          -3.448e+01             141.683           1.837e+00              97.983           3.953e+01     
  35.000           0.000            1.799e+00          -3.427e+01             141.637           1.798e+00              98.198           3.932e+01     
  36.000           0.000            1.761e+00          -3.407e+01             141.577           1.759e+00              98.417           3.912e+01     
  37.000           0.000            1.721e+00          -3.387e+01             141.501           1.720e+00              98.640           3.894e+01     
  38.000           0.000            1.682e+00          -3.369e+01             141.411           1.680e+00              98.868           3.877e+01     
  39.000           0.000            1.641e+00          -3.352e+01             141.308           1.640e+00              99.100           3.862e+01     
  40.000           0.000            1.601e+00          -3.336e+01             141.190           1.600e+00              99.336           3.847e+01     
  41.000           0.000            1.560e+00          -3.321e+01             141.059           1.559e+00              99.575           3.834e+01     
  42.000           0.000            1.520e+00          -3.306e+01             140.915           1.518e+00              99.818           3.822e+01     
  43.000           0.000            1.479e+00          -3.292e+01             140.758           1.477e+00             100.065           3.812e+01     
  44.000           0.000            1.438e+00          -3.279e+01             140.588           1.436e+00             100.315           3.802e+01     
  45.000           0.000            1.396e+00          -3.267e+01             140.405           1.395e+00             100.568           3.793e+01     
  46.000           0.000            1.355e+00          -3.255e+01             140.209           1.354e+00             100.823           3.786e+01     
  47.000           0.000            1.314e+00          -3.244e+01             140.001           1.313e+00             101.082           3.779e+01     
  48.000           0.000            1.273e+00          -3.234e+01             139.779           1.272e+00             101.342           3.774e+01     
  49.000           0.000            1.233e+00          -3.224e+01             139.545           1.231e+00             101.605           3.770e+01     
  50.000           0.000            1.192e+00          -3.215e+01             139.299           1.190e+00             101.869           3.767e+01     
  51.000           0.000            1.152e+00          -3.207e+01             139.039           1.150e+00             102.135           3.765e+01     
  52.000           0.000            1.112e+00          -3.199e+01             138.766           1.110e+00             102.403           3.764e+01     
  53.000           0.000            1.073e+00          -3.191e+01             138.481           1.071e+00             102.672           3.764e+01     
  54.000           0.000            1.034e+00          -3.184e+01             138.182           1.032e+00             102.941           3.766e+01     
  55.000           0.000            9.957e-01          -3.178e+01             137.870           9.934e-01             103.212           3.768e+01     
  56.000           0.000            9.579e-01          -3.172e+01             137.545           9.555e-01             103.482           3.772e+01     
  57.000           0.000            9.207e-01          -3.167e+01             137.206           9.183e-01             103.753           3.776e+01     
  58.000           0.000            8.842e-01          -3.162e+01             136.854           8.818e-01             104.024           3.782e+01     
  59.000           0.000            8.485e-01          -3.157e+01             136.488           8.460e-01             104.294           3.789e+01     
  60.000           0.000            8.136e-01          -3.153e+01             136.108           8.110e-01             104.563           3.797e+01     
  61.000           0.000            7.795e-01          -3.150e+01             135.714           7.769e-01             104.832           3.807e+01     
  62.000           0.000            7.463e-01          -3.146e+01             135.307           7.437e-01             105.099           3.818e+01     
  63.000           0.000            7.141e-01          -3.143e+01             134.885           7.114e-01             105.365           3.830e+01     
  64.000           0.000            6.829e-01          -3.141e+01             134.448           6.802e-01             105.629           3.843e+01     
  65.000           0.000            6.527e-01          -3.139e+01             133.998           6.500e-01             105.891           3.858e+01     
  66.000           0.000            6.236e-01          -3.137e+01             133.533           6.209e-01             106.151           3.874e+01     
  67.000           0.000            5.957e-01          -3.135e+01             133.053           5.929e-01             106.409           3.892e+01     
  68.000           0.000            5.690e-01          -3.134e+01             132.558           5.662e-01             106.663           3.911e+01     
  69.000           0.000            5.435e-01          -3.133e+01             132.049           5.406e-01             106.915           3.932e+01     
  70.000           0.000            5.192e-01          -3.133e+01             131.525           5.164e-01             107.163           3.954e+01     
  71.000           0.000            4.963e-01          -3.133e+01             130.986           4.935e-01             107.407           3.978e+01     
  72.000           0.000            4.747e-01          -3.133e+01             130.432           4.719e-01             107.648           4.000e+01     
  73.000           0.000            4.546e-01          -3.133e+01             129.863           4.517e-01             107.885           4.000e+01     
  74.000           0.000            4.358e-01          -3.133e+01             129.280           4.329e-01             108.118           4.000e+01     
  75.000           0.000            4.185e-01          -3.134e+01             128.681           4.156e-01             108.346           4.000e+01     
  76.000           0.000            4.027e-01          -3.135e+01             128.068           3.998e-01             108.569           4.000e+01     
  77.000           0.000            3.884e-01          -3.136e+01             127.440           3.855e-01             108.788           4.000e+01     
  78.000           0.000            3.756e-01          -3.137e+01             126.797           3.727e-01             109.002           4.000e+01     
  79.000           0.000            3.644e-01          -3.139e+01             126.140           3.615e-01             109.210           4.000e+01     
  80.000           0.000            3.548e-01          -3.141e+01             125.469           3.519e-01             109.413           4.000e+01     
  81.000           0.000            3.468e-01          -3.142e+01             124.783           3.439e-01             109.611           4.000e+01     
  82.000           0.000            3.404e-01          -3.144e+01             124.084           3.376e-01             109.803           4.000e+01     
  83.000           0.000            3.357e-01          -3.146e+01             123.372           3.328e-01             109.989           4.000e+01     
  84.000           0.000            3.326e-01          -3.149e+01             122.646           3.298e-01             110.169           4.000e+01     
  85.000           0.000            3.312e-01          -3.151e+01             121.907           3.284e-01             110.343           4.000e+01     
  86.000           0.000            3.315e-01          -3.154e+01             121.156           3.286e-01             110.511           4.000e+01     
  87.000           0.000            3.334e-01          -3.156e+01             120.393           3.306e-01             110.674           4.000e+01     
  88.000           0.000            3.370e-01          -3.159e+01             119.618           3.342e-01             110.829           4.000e+01     
  89.000           0.000            3.423e-01          -3.161e+01             118.832           3.396e-01             110.979           4.000e+01     
  90.000           0.000            3.493e-01          -3.164e+01             118.036           3.466e-01             111.122           4.000e+01     
  91.000           0.000            3.580e-01          -3.167e+01             117.230           3.553e-01             111.259           4.000e+01     
  92.000           0.000            3.683e-01          -3.170e+01             116.415           3.656e-01             111.390           4.000e+01     
  93.000           0.000            3.804e-01          -3.173e+01             115.591           3.777e-01             111.514           4.000e+01     
  94.000           0.000            3.940e-01          -3.176e+01             114.759           3.914e-01             111.632           4.000e+01     
  95.000           0.000            4.094e-01          -3.179e+01             113.919           4.068e-01             111.744           4.000e+01     
  96.000           0.000            4.263e-01          -3.182e+01             113.073           4.237e-01             111.850           4.000e+01     
  97.000           0.000            4.449e-01          -3.185e+01             112.222           4.423e-01             111.949           4.000e+01     
  98.000           0.000            4.651e-01          -3.188e+01             111.365           4.625e-01             112.043           4.000e+01     
  99.000           0.000            4.868e-01          -3.191e+01             110.505           4.843e-01             112.130           4.000e+01     
 100.000           0.000            5.101e-01          -3.195e+01             109.641           5.076e-01             112.212           4.000e+01     
 101.000           0.000            5.349e-01          -3.198e+01             108.775           5.325e-01             112.287           4.000e+01     
 102.000           0.000            5.612e-01          -3.201e+01             107.907           5.588e-01             112.357           4.000e+01     
 103.000           0.000            5.890e-01          -3.204e+01             107.039           5.866e-01             112.422           4.000e+01     
 104.000           0.000            6.182e-01          -3.208e+01             106.170           6.158e-01             112.481           4.000e+01     
 105.000           0.000            6.488e-01          -3.211e+01             105.303           6.465e-01             112.534           4.000e+01     
 106.000           0.000            6.807e-01          -3.214e+01             104.438           6.785e-01             112.583           4.000e+01     
 107.000           0.000            7.140e-01          -3.218e+01             103.575           7.118e-01             112.627           4.000e+01     
 108.000           0.000            7.486e-01          -3.221e+01             102.717           7.464e-01             112.665           4.000e+01     
 109.000           0.000            7.844e-01          -3.225e+01             101.862           7.822e-01             112.699           4.000e+01     
 110.000           0.000            8.214e-01          -3.228e+01             101.013           8.193e-01             112.729           4.000e+01     
 111.000           0.000            8.596e-01          -3.232e+01             100.170           8.575e-01             112.754           4.000e+01     
 112.000           0.000            8.988e-01          -3.236e+01              99.334           8.968e-01             112.775           4.000e+01     
 113.000           0.000            9.392e-01          -3.240e+01              98.505           9.372e-01             112.792           4.000e+01     
 114.000           0.000            9.805e-01          -3.243e+01              97.685           9.785e-01             112.805           4.000e+01     
 115.000           0.000            1.023e+00          -3.248e+01              96.874           1.021e+00             112.814           4.000e+01     
 116.000           0.000            1.066e+00          -3.252e+01              96.072           1.064e+00             112.820           4.000e+01     
 117.000           0.000            1.110e+00          -3.256e+01              95.281           1.108e+00             112.823           4.000e+01     
 118.000           0.000            1.155e+00          -3.261e+01              94.500           1.153e+00             112.822           4.000e+01     
 119.000           0.000            1.201e+00          -3.266e+01              93.731           1.199e+00             112.819           4.000e+01     
