Theta[deg.]      Phi[deg.]       Abs(Gain)[dBi]      Abs(Theta)[dBi]    Phase(Theta)[deg.]    Abs(Phi)[dBi]      Phase(Phi)[deg.]      Ax.Ratio[dB]    
   0.000          90.000            2.570e+00           2.570e+00              94.196          -4.995e+01             177.120           4.000e+01     
   1.000          90.000            2.656e+00           2.656e+00              94.488          -5.025e+01             178.878           4.000e+01     
   2.000          90.000            2.738e+00           2.738e+00              94.776          -5.055e+01             180.757           4.000e+01     
   3.000          90.000            2.815e+00           2.815e+00              95.060          -5.086e+01             182.770           4.000e+01     
   4.000          90.000            2.887e+00           2.887e+00              95.341          -5.116e+01             184.924           4.000e+01     
   5.000          90.000            2.955e+00           2.955e+00              95.618          -5.147e+01             187.228           4.000e+01     
   6.000          90.000            3.018e+00           3.018e+00              95.891          -5.177e+01             189.688           4.000e+01     
   7.000          90.000            3.077e+00           3.077e+00              96.162          -5.206e+01             192.309           4.000e+01     
   8.000          90.000            3.131e+00           3.131e+00              96.429          -5.235e+01             195.096           4.000e+01     
   9.000          90.000            3.180e+00           3.180e+00              96.693          -5.262e+01             198.050           4.000e+01     
  10.000          90.000            3.225e+00           3.225e+00              96.954          -5.288e+01             201.168           4.000e+01     
  11.000          90.000            3.265e+00           3.265e+00              97.212          -5.312e+01             204.444           4.000e+01     
  12.000          90.000            3.300e+00           3.300e+00              97.467          -5.333e+01             207.868           4.000e+01     
  13.000          90.000            3.331e+00           3.331e+00              97.719          -5.352e+01             211.423           4.000e+01     
  14.000          90.000            3.356e+00           3.356e+00              97.969          -5.368e+01             215.090           4.000e+01     
  15.000          90.000            3.378e+00           3.378e+00              98.215          -5.381e+01             218.841           4.000e+01     
  16.000          90.000            3.394e+00           3.394e+00              98.459          -5.390e+01             222.648           4.000e+01     
  17.000          90.000            3.406e+00           3.406e+00              98.699          -5.396e+01             226.479           4.000e+01     
  18.000          90.000            3.413e+00           3.413e+00              98.937          -5.398e+01             230.299           4.000e+01     
  19.000          90.000            3.416e+00           3.416e+00              99.173          -5.396e+01             234.078           4.000e+01     
  20.000          90.000            3.413e+00           3.413e+00              99.406          -5.392e+01             237.783           4.000e+01     
  21.000          90.000            3.406e+00           3.406e+00              99.636          -5.384e+01             241.389           4.000e+01     
  22.000          90.000            3.394e+00           3.394e+00              99.863          -5.373e+01             244.874           4.000e+01     
  23.000          90.000            3.378e+00           3.378e+00             100.088          -5.361e+01             248.219           4.000e+01     
  24.000          90.000            3.356e+00           3.356e+00             100.310          -5.346e+01             251.415           4.000e+01     
  25.000          90.000            3.330e+00           3.330e+00             100.529          -5.329e+01             254.452           4.000e+01     
  26.000          90.000            3.299e+00           3.298e+00             100.746          -5.311e+01             257.328           4.000e+01     
  27.000          90.000            3.262e+00           3.262e+00             100.960          -5.292e+01             260.044           4.000e+01     
  28.000          90.000            3.221e+00           3.221e+00             101.172          -5.272e+01             262.602           4.000e+01     
  29.000          90.000            3.175e+00           3.175e+00             101.381          -5.252e+01             265.008           4.000e+01     
  30.000          90.000            3.125e+00           3.125e+00             101.587          -5.232e+01             267.269           4.000e+01     
  31.000          90.000            3.069e+00           3.069e+00             101.791          -5.211e+01             269.391           4.000e+01     
  32.000          90.000            3.008e+00           3.008e+00             101.991          -5.191e+01             271.384           4.000e+01     
  33.000          90.000            2.942e+00           2.942e+00             102.189          -5.170e+01             273.255           4.000e+01     
  34.000          90.000            2.870e+00           2.870e+00             102.384          -5.150e+01             275.013           4.000e+01     
  35.000          90.000            2.794e+00           2.794e+00             102.576          -5.131e+01             276.666           4.000e+01     
  36.000          90.000            2.712e+00           2.712e+00             102.766          -5.112e+01             278.221           4.000e+01     
  37.000          90.000            2.625e+00           2.625e+00             102.952          -5.093e+01             279.685           4.000e+01     
  38.000          90.000            2.533e+00           2.533e+00             103.135          -5.075e+01             281.066           4.000e+01     
  39.000          90.000            2.435e+00           2.435e+00             103.315          -5.058e+01             282.370           4.000e+01     
  40.000          90.000            2.331e+00           2.331e+00             103.491          -5.041e+01             283.602           4.000e+01     
