PNT	 Frequency	     S11
1	2.000000000	-1.669177E+001
2	2.005000000	-1.650513E+001
3	2.010000000	-1.612879E+001
4	2.015000000	-1.555441E+001
5	2.020000000	-1.483994E+001
6	2.025000000	-1.410166E+001
7	2.030000000	-1.330840E+001
8	2.035000000	-1.252578E+001
9	2.040000000	-1.179776E+001
10	2.045000000	-1.112472E+001
11	2.050000000	-1.048403E+001
12	2.055000000	-9.903954E+000
13	2.060000000	-9.418112E+000
14	2.065000000	-8.948174E+000
15	2.070000000	-8.571285E+000
16	2.075000000	-8.246174E+000
17	2.080000000	-7.977854E+000
18	2.085000000	-7.760454E+000
19	2.090000000	-7.569094E+000
20	2.095000000	-7.376697E+000
21	2.100000000	-7.202470E+000
22	2.105000000	-7.042715E+000
23	2.110000000	-6.878033E+000
24	2.115000000	-6.721134E+000
25	2.120000000	-6.541813E+000
26	2.125000000	-6.386764E+000
27	2.130000000	-6.216549E+000
28	2.135000000	-6.048185E+000
29	2.140000000	-5.894496E+000
30	2.145000000	-5.755210E+000
31	2.150000000	-5.632856E+000
32	2.155000000	-5.531500E+000
33	2.160000000	-5.438924E+000
34	2.165000000	-5.351918E+000
35	2.170000000	-5.265633E+000
36	2.175000000	-5.206424E+000
37	2.180000000	-5.156097E+000
38	2.185000000	-5.121086E+000
39	2.190000000	-5.091267E+000
40	2.195000000	-5.058300E+000
41	2.200000000	-5.028193E+000
42	2.205000000	-4.996648E+000
43	2.210000000	-4.966499E+000
44	2.215000000	-4.923833E+000
45	2.220000000	-4.883868E+000
46	2.225000000	-4.860839E+000
47	2.230000000	-4.821905E+000
48	2.235000000	-4.808856E+000
49	2.240000000	-4.795277E+000
50	2.245000000	-4.784392E+000
51	2.250000000	-4.788519E+000
52	2.255000000	-4.787372E+000
53	2.260000000	-4.804860E+000
54	2.265000000	-4.823030E+000
55	2.270000000	-4.847547E+000
56	2.275000000	-4.874958E+000
57	2.280000000	-4.918688E+000
58	2.285000000	-4.969369E+000
59	2.290000000	-5.023514E+000
60	2.295000000	-5.135026E+000
61	2.300000000	-5.266151E+000
62	2.305000000	-5.415442E+000
63	2.310000000	-5.593002E+000
64	2.315000000	-5.813431E+000
65	2.320000000	-6.074171E+000
66	2.325000000	-6.381050E+000
67	2.330000000	-6.722774E+000
68	2.335000000	-7.068102E+000
69	2.340000000	-7.446652E+000
70	2.345000000	-7.865757E+000
71	2.350000000	-8.321300E+000
72	2.355000000	-8.810166E+000
73	2.360000000	-9.355701E+000
74	2.365000000	-9.980717E+000
75	2.370000000	-1.071238E+001
76	2.375000000	-1.158284E+001
77	2.380000000	-1.261566E+001
78	2.385000000	-1.388128E+001
79	2.390000000	-1.533966E+001
80	2.395000000	-1.713248E+001
81	2.400000000	-1.916434E+001
82	2.405000000	-2.111497E+001
83	2.410000000	-2.220288E+001
84	2.415000000	-2.174838E+001
85	2.420000000	-2.025346E+001
86	2.425000000	-1.861599E+001
87	2.430000000	-1.719005E+001
88	2.435000000	-1.596685E+001
89	2.440000000	-1.488473E+001
90	2.445000000	-1.396958E+001
91	2.450000000	-1.311544E+001
92	2.455000000	-1.233025E+001
93	2.460000000	-1.161701E+001
94	2.465000000	-1.095604E+001
95	2.470000000	-1.036614E+001
96	2.475000000	-9.836923E+000
97	2.480000000	-9.391611E+000
98	2.485000000	-9.007200E+000
99	2.490000000	-8.700357E+000
100	2.495000000	-8.486429E+000
101	2.500000000	-8.314960E+000
102	2.505000000	-8.202048E+000
103	2.510000000	-8.152279E+000
104	2.515000000	-8.161734E+000
105	2.520000000	-8.188761E+000
106	2.525000000	-8.241592E+000
107	2.530000000	-8.338214E+000
108	2.535000000	-8.435932E+000
109	2.540000000	-8.547559E+000
110	2.545000000	-8.658716E+000
111	2.550000000	-8.757110E+000
112	2.555000000	-8.885418E+000
113	2.560000000	-9.034835E+000
114	2.565000000	-9.224220E+000
115	2.570000000	-9.451601E+000
116	2.575000000	-9.740011E+000
117	2.580000000	-1.011113E+001
118	2.585000000	-1.052483E+001
119	2.590000000	-1.102334E+001
120	2.595000000	-1.159271E+001
121	2.600000000	-1.224556E+001
122	2.605000000	-1.295858E+001
123	2.610000000	-1.377310E+001
124	2.615000000	-1.462314E+001
125	2.620000000	-1.555408E+001
126	2.625000000	-1.656536E+001
127	2.630000000	-1.767068E+001
128	2.635000000	-1.886039E+001
129	2.640000000	-2.010958E+001
130	2.645000000	-2.154320E+001
131	2.650000000	-2.292542E+001
132	2.655000000	-2.429187E+001
133	2.660000000	-2.498252E+001
134	2.665000000	-2.471806E+001
135	2.670000000	-2.362109E+001
136	2.675000000	-2.213504E+001
137	2.680000000	-2.064051E+001
138	2.685000000	-1.926594E+001
139	2.690000000	-1.802544E+001
140	2.695000000	-1.692408E+001
141	2.700000000	-1.588451E+001
142	2.705000000	-1.497423E+001
143	2.710000000	-1.418659E+001
144	2.715000000	-1.351937E+001
145	2.720000000	-1.287194E+001
146	2.725000000	-1.226804E+001
147	2.730000000	-1.174359E+001
148	2.735000000	-1.128941E+001
149	2.740000000	-1.087485E+001
150	2.745000000	-1.049211E+001
151	2.750000000	-1.013972E+001
152	2.755000000	-9.835168E+000
153	2.760000000	-9.562901E+000
154	2.765000000	-9.254477E+000
155	2.770000000	-9.020491E+000
156	2.775000000	-8.807285E+000
157	2.780000000	-8.595798E+000
158	2.785000000	-8.392437E+000
159	2.790000000	-8.188323E+000
160	2.795000000	-7.985868E+000
161	2.800000000	-7.782979E+000
162	2.805000000	-7.585599E+000
163	2.810000000	-7.396724E+000
164	2.815000000	-7.207928E+000
165	2.820000000	-7.040081E+000
166	2.825000000	-6.891348E+000
167	2.830000000	-6.760699E+000
168	2.835000000	-6.651454E+000
169	2.840000000	-6.570087E+000
170	2.845000000	-6.518667E+000
171	2.850000000	-6.476788E+000
172	2.855000000	-6.448309E+000
173	2.860000000	-6.422117E+000
174	2.865000000	-6.389555E+000
175	2.870000000	-6.353935E+000
176	2.875000000	-6.298118E+000
177	2.880000000	-6.234726E+000
178	2.885000000	-6.162564E+000
179	2.890000000	-6.089623E+000
180	2.895000000	-6.016331E+000
181	2.900000000	-5.960814E+000
182	2.905000000	-5.914405E+000
183	2.910000000	-5.892292E+000
184	2.915000000	-5.892680E+000
185	2.920000000	-5.928703E+000
186	2.925000000	-5.981977E+000
187	2.930000000	-6.065013E+000
188	2.935000000	-6.153287E+000
189	2.940000000	-6.243612E+000
190	2.945000000	-6.324384E+000
191	2.950000000	-6.369509E+000
192	2.955000000	-6.385211E+000
193	2.960000000	-6.366794E+000
194	2.965000000	-6.316939E+000
195	2.970000000	-6.238036E+000
196	2.975000000	-6.133765E+000
197	2.980000000	-6.023399E+000
198	2.985000000	-5.923799E+000
199	2.990000000	-5.812808E+000
200	2.995000000	-5.655271E+000
201	3.000000000	-5.505039E+000
