Theta[deg.],Gain(S)_y20_0,Gain(M)_y20_0,Gain(S)_y40_0,Gain(M)_y40_0,Gain(S)_y80_0,Gain(M)_y80_0,Gain(S)_x20_0,Gain(M)_x20_0,Gain(S)_x40_0,Gain(S)_x40_0,Gain(S)_x80_0,Gain(M)_x80_0
0,1.616,1.2928,2.296,1.8368,2.57,2.1331,1.212,0.9353408,1.717408,1.35353792,2.6985,2.175762
1,1.616,1.2928,2.295,1.836,2.569,2.13227,1.212,0.9353408,1.71666,1.3529484,2.69745,2.1749154
2,1.614,1.2912,2.293,1.8344,2.567,2.13061,1.2105,0.9341832,1.715164,1.35176936,2.69535,2.1732222
3,1.612,1.2896,2.29,1.832,2.563,2.12729,1.209,0.9330256,1.71292,1.3500008,2.69115,2.1698358
4,1.609,1.2872,2.286,1.8288,2.558,2.12314,1.20675,0.9312892,1.709928,1.34764272,2.6859,2.1656028
5,1.606,1.2848,2.28,1.824,2.552,2.11816,1.2045,0.9295528,1.70544,1.3441056,2.6796,2.1605232
6,1.601,1.2808,2.274,1.8192,2.544,2.11152,1.20075,0.9266588,1.700952,1.34056848,2.6712,2.1537504
7,1.596,1.2768,2.266,1.8128,2.535,2.10405,1.197,0.9237648,1.694968,1.33585232,2.66175,2.146131
8,1.59,1.272,2.257,1.8056,2.524,2.09492,1.1925,0.920292,1.688236,1.33054664,2.6502,2.1368184
9,1.583,1.2664,2.246,1.7968,2.512,2.08496,1.18725,0.9162404,1.680008,1.32406192,2.6376,2.1266592
10,1.575,1.26,2.235,1.788,2.499,2.07417,1.18125,0.91161,1.67178,1.3175772,2.62395,2.1156534
11,1.566,1.2528,2.222,1.7776,2.485,2.06255,1.1745,0.9064008,1.662056,1.30991344,2.60925,2.103801
12,1.557,1.2456,2.209,1.7672,2.469,2.04927,1.16775,0.9011916,1.652332,1.30224968,2.59245,2.0902554
13,1.547,1.2376,2.194,1.7552,2.452,2.03516,1.16025,0.8954036,1.641112,1.29340688,2.5746,2.0758632
14,1.536,1.2288,2.178,1.7424,2.433,2.01939,1.152,0.8890368,1.629144,1.28397456,2.55465,2.0597778
15,1.525,1.22,2.161,1.7288,2.413,2.00279,1.14375,0.88267,1.616428,1.27395272,2.53365,2.0428458
16,1.513,1.2104,2.143,1.7144,2.392,1.98536,1.13475,0.8757244,1.602964,1.26334136,2.5116,2.0250672
17,1.5,1.2,2.124,1.6992,2.37,1.9671,1.125,0.8682,1.588752,1.25214048,2.4885,2.006442
18,1.487,1.1896,2.104,1.6832,2.347,1.94801,1.11525,0.8606756,1.573792,1.24035008,2.46435,1.9869702
19,1.473,1.1784,2.083,1.6664,2.322,1.92726,1.10475,0.8525724,1.558084,1.22797016,2.4381,1.9658052
20,1.458,1.1664,2.061,1.6488,2.297,1.90651,1.0935,0.8438904,1.541628,1.21500072,2.41185,1.9446402
21,1.443,1.1544,2.038,1.6304,2.27,1.8841,1.08225,0.8352084,1.524424,1.20144176,2.3835,1.921782
22,1.427,1.1416,2.014,1.6112,2.242,1.86086,1.07025,0.8259476,1.506472,1.18729328,2.3541,1.8980772
23,1.411,1.1288,1.989,1.5912,2.213,1.83679,1.05825,0.8166868,1.487772,1.17255528,2.32365,1.8735258
24,1.394,1.1152,1.964,1.5712,2.184,1.81272,1.0455,0.8068472,1.469072,1.15781728,2.2932,1.8489744
25,1.376,1.1008,1.938,1.5504,2.153,1.78699,1.032,0.7964288,1.449624,1.14248976,2.26065,1.8227298
26,1.359,1.0872,1.91,1.528,2.121,1.76043,1.01925,0.7865892,1.42868,1.1259832,2.22705,1.7956386
27,1.34,1.072,1.882,1.5056,2.088,1.73304,1.005,0.775592,1.407736,1.10947664,2.1924,1.7677008
28,1.322,1.0576,1.854,1.4832,2.055,1.70565,0.9915,0.7651736,1.386792,1.09297008,2.15775,1.739763
29,1.303,1.0424,1.825,1.46,2.02,1.6766,0.97725,0.7541764,1.3651,1.075874,2.121,1.710132
30,1.283,1.0264,1.795,1.436,1.985,1.64755,0.96225,0.7426004,1.34266,1.0581884,2.08425,1.680501
31,1.264,1.0112,1.764,1.4112,1.949,1.61767,0.948,0.7316032,1.319472,1.03991328,2.04645,1.6500234
32,1.244,0.9952,1.733,1.3864,1.913,1.58779,0.933,0.7200272,1.296284,1.02163816,2.00865,1.6195458
33,1.223,0.9784,1.702,1.3616,1.876,1.55708,0.91725,0.7078724,1.273096,1.00336304,1.9698,1.5882216
34,1.203,0.9624,1.669,1.3352,1.838,1.52554,0.90225,0.6962964,1.248412,0.98390888,1.9299,1.5560508
35,1.182,0.9456,1.637,1.3096,1.799,1.49317,0.8865,0.6841416,1.224476,0.96504424,1.88895,1.5230334
36,1.162,0.9296,1.604,1.2832,1.761,1.46163,0.8715,0.6725656,1.199792,0.94559008,1.84905,1.4908626
37,1.141,0.9128,1.571,1.2568,1.721,1.42843,0.85575,0.6604108,1.175108,0.92613592,1.80705,1.4569986
38,1.12,0.896,1.537,1.2296,1.682,1.39606,0.84,0.648256,1.149676,0.90609224,1.7661,1.4239812
39,1.099,0.8792,1.504,1.2032,1.641,1.36203,0.82425,0.6361012,1.124992,0.88663808,1.72305,1.3892706
40,1.078,0.8624,1.47,1.176,1.601,1.32883,0.8085,0.6239464,1.09956,0.8665944,1.68105,1.3554066
41,1.057,0.8456,1.436,1.1488,1.56,1.2948,0.79275,0.6117916,1.074128,0.84655072,1.638,1.320696
42,1.036,0.8288,1.401,1.1208,1.52,1.2616,0.777,0.5996368,1.047948,0.82591752,1.596,1.286832
43,1.015,0.812,1.367,1.0936,1.479,1.22757,0.76125,0.587482,1.022516,0.80587384,1.55295,1.2521214
44,0.9945,0.7956,1.333,1.0664,1.438,1.19354,0.745875,0.5756166,0.997084,0.78583016,1.5099,1.2174108
45,0.9741,0.77928,1.299,1.0392,1.396,1.15868,0.730575,0.56380908,0.971652,0.76578648,1.4658,1.1818536
46,0.9538,0.76304,1.264,1.0112,1.355,1.12465,0.71535,0.55205944,0.945472,0.74515328,1.42275,1.147143
47,0.9339,0.74712,1.23,0.984,1.314,1.09062,0.700425,0.54054132,0.92004,0.7251096,1.3797,1.1124324
48,0.9142,0.73136,1.197,0.9576,1.273,1.05659,0.68565,0.52913896,0.895356,0.70565544,1.33665,1.0777218
49,0.8948,0.71584,1.163,0.9304,1.233,1.02339,0.6711,0.51791024,0.869924,0.68561176,1.29465,1.0438578
50,0.8758,0.70064,1.13,0.904,1.192,0.98936,0.65685,0.50691304,0.84524,0.6661576,1.2516,1.0091472
51,0.8573,0.68584,1.097,0.8776,1.152,0.95616,0.642975,0.49620524,0.820556,0.64670344,1.2096,0.9752832
52,0.8391,0.67128,1.064,0.8512,1.112,0.92296,0.629325,0.48567108,0.795872,0.62724928,1.1676,0.9414192
53,0.8214,0.65712,1.032,0.8256,1.073,0.89059,0.61605,0.47542632,0.771936,0.60838464,1.12665,0.9084018
54,0.8043,0.64344,1,0.8,1.034,0.85822,0.603225,0.46552884,0.748,0.58952,1.0857,0.8753844
55,0.7877,0.63016,0.969,0.7752,0.9957,0.826431,0.590775,0.45592076,0.724812,0.57124488,1.045485,0.84295962
56,0.7717,0.61736,0.9384,0.75072,0.9579,0.795057,0.578775,0.44665996,0.7019232,0.553205568,1.005795,0.81095814
57,0.7563,0.60504,0.9085,0.7268,0.9207,0.764181,0.567225,0.43774644,0.679558,0.53557892,0.966735,0.77946462
58,0.7416,0.59328,0.8792,0.70336,0.8842,0.733886,0.5562,0.42923808,0.6576416,0.518305984,0.92841,0.74856372
59,0.7275,0.582,0.8507,0.68056,0.8485,0.704255,0.545625,0.421077,0.6363236,0.501504664,0.890925,0.7183401
60,0.7142,0.57136,0.8229,0.65832,0.8136,0.675288,0.53565,0.41337896,0.6155292,0.485116008,0.85428,0.68879376
61,0.7016,0.56128,0.7959,0.63672,0.7795,0.646985,0.5262,0.40608608,0.5953332,0.469198968,0.818475,0.6599247
62,0.6898,0.55184,0.7698,0.61584,0.7463,0.619429,0.51735,0.39925624,0.5758104,0.453812496,0.783615,0.63181758
63,0.6788,0.54304,0.7447,0.59576,0.7141,0.592703,0.5091,0.39288944,0.5570356,0.439015544,0.749805,0.60455706
64,0.6687,0.53496,0.7204,0.57632,0.6829,0.566807,0.501525,0.38704356,0.5388592,0.424690208,0.717045,0.57814314
65,0.6594,0.52752,0.6972,0.55776,0.6527,0.541741,0.49455,0.38166072,0.5215056,0.411013344,0.685335,0.55257582
66,0.651,0.5208,0.6749,0.53992,0.6236,0.517588,0.48825,0.3767988,0.5048252,0.397867048,0.65478,0.52793976
67,0.6436,0.51488,0.6538,0.52304,0.5957,0.494431,0.4827,0.37251568,0.4890424,0.385428176,0.625485,0.50431962
68,0.6371,0.50968,0.6338,0.50704,0.569,0.47227,0.477825,0.36875348,0.4740824,0.373637776,0.59745,0.4817154
69,0.6316,0.50528,0.6149,0.49192,0.5435,0.451105,0.4737,0.36557008,0.4599452,0.362495848,0.570675,0.4601271
70,0.6271,0.50168,0.5971,0.47768,0.5192,0.430936,0.470325,0.36296548,0.4466308,0.352002392,0.54516,0.43955472
71,0.6236,0.49888,0.5806,0.46448,0.4963,0.411929,0.4677,0.36093968,0.4342888,0.342275312,0.521115,0.42016758
72,0.6211,0.49688,0.5654,0.45232,0.4747,0.394001,0.465825,0.35949268,0.4229192,0.333314608,0.498435,0.40188102
73,0.6197,0.49576,0.5514,0.44112,0.4546,0.377318,0.464775,0.35868236,0.4124472,0.325061328,0.47733,0.38486436
