Column1,Column2,Column3,Column4,,
                Frequency                      ,S11,,,,
                       1                    ,-0.38812211,,,,
               1.0039999                    ,-0.38649823,,,,
                   1.008                    ,-0.38124752,,,,
                   1.012                    ,-0.37455371,,,,
                   1.016                    ,-0.36882752,,,,
                    1.02                    ,-0.36628448,,,,
                   1.024                    ,-0.36856782,,,,
                   1.028                     ,-0.3764902,,,,
               1.0319999                    ,-0.38991078,,,,
                   1.036                    ,-0.40777551,,,,
                    1.04                    ,-0.42829687,,,,
                   1.044                    ,-0.44926879,,,,
                   1.048                    ,-0.46844535,,,,
                   1.052                    ,-0.48394062,,,,
                   1.056                    ,-0.49456726,,,,
               1.0599999                    ,-0.50004937,,,,
                   1.064                    ,-0.50106211,,,,
                   1.068                     ,-0.4990941,,,,
                   1.072                    ,-0.49616382,,,,
                   1.076                    ,-0.49445324,,,,
                    1.08                     ,-0.4959219,,,,
                   1.084                    ,-0.50198022,,,,
               1.0880001                     ,-0.5132639,,,,
                   1.092                    ,-0.52954196,,,,
                   1.096                    ,-0.54976652,,,,
                     1.1                    ,-0.57225203,,,,
                   1.104                    ,-0.59497209,,,,
                   1.108                    ,-0.61590734,,,,
                   1.112                    ,-0.63340368,,,,
               1.1160001                    ,-0.64647197,,,,
                    1.12                    ,-0.65496127,,,,
                   1.124                     ,-0.6595796,,,,
                   1.128                     ,-0.6617528,,,,
                   1.132                    ,-0.66335706,,,,
                   1.136                    ,-0.66638279,,,,
                    1.14                    ,-0.67258518,,,,
               1.1440001                     ,-0.6831933,,,,
                   1.148                    ,-0.69871186,,,,
                   1.152                       ,-0.71885,,,,
                   1.156                    ,-0.74257869,,,,
                    1.16                    ,-0.76830615,,,,
                   1.164                    ,-0.79415576,,,,
                   1.168                    ,-0.81829135,,,,
               1.1720001                     ,-0.8392397,,,,
                   1.176                    ,-0.85616071,,,,
               1.1799999                     ,-0.8689903,,,,
                   1.184                    ,-0.87845053,,,,
                   1.188                    ,-0.88590845,,,,
                   1.192                    ,-0.89312449,,,,
                   1.196                    ,-0.90193772,,,,
                     1.2                     ,-0.9139482,,,,
                   1.204                    ,-0.93025176,,,,
               1.2079999                    ,-0.95126494,,,,
                   1.212                      ,-0.976662,,,,
                   1.216                     ,-1.0054409,,,,
                    1.22                     ,-1.0360917,,,,
                   1.224                     ,-1.0668593,,,,
                   1.228                     ,-1.0960439,,,,
                   1.232                     ,-1.1223106,,,,
               1.2359999                     ,-1.1449189,,,,
                    1.24                     ,-1.1638601,,,,
                   1.244                     ,-1.1798577,,,,
                   1.248                     ,-1.1942245,,,,
                   1.252                     ,-1.2086301,,,,
                   1.256                     ,-1.2248016,,,,
                    1.26                     ,-1.2442294,,,,
               1.2640001                      ,-1.267921,,,,
                   1.268                     ,-1.2962365,,,,
                   1.272                     ,-1.3288401,,,,
                   1.276                     ,-1.3647568,,,,
                    1.28                     ,-1.4025431,,,,
                   1.284                     ,-1.4405319,,,,
                   1.288                     ,-1.4771232,,,,
               1.2920001                     ,-1.5110678,,,,
                   1.296                     ,-1.5416897,,,,
                     1.3                     ,-1.5690116,,,,
                   1.304                     ,-1.5937451,,,,
                   1.308                     ,-1.6171656,,,,
                   1.312                     ,-1.6408808,,,,
                   1.316                     ,-1.6665487,,,,
               1.3200001                     ,-1.6955978,,,,
                   1.324                     ,-1.7289878,,,,
               1.3279999                     ,-1.7670568,,,,
                   1.332                     ,-1.8094725,,,,
                   1.336                     ,-1.8552886,,,,
                    1.34                     ,-1.9031054,,,,
                   1.344                     ,-1.9513088,,,,
                   1.348                     ,-1.9983494,,,,
                   1.352                      ,-2.043018,,,,
               1.3559999                     ,-2.0846624,,,,
                    1.36                      ,-2.123308,,,,
                   1.364                     ,-2.1596546,,,,
                   1.368                     ,-2.1949524,,,,
                   1.372                     ,-2.2307815,,,,
                   1.376                     ,-2.2687753,,,,
                    1.38                     ,-2.3103478,,,,
               1.3839999                      ,-2.356457,,,,
                   1.388                     ,-2.4074525,,,,
                   1.392                     ,-2.4630166,,,,
                   1.396                      ,-2.522227,,,,
                     1.4                     ,-2.5837024,,,,
                   1.404                     ,-2.6458395,,,,
                   1.408                     ,-2.7070913,,,,
               1.4119999                      ,-2.766239,,,,
                   1.416                     ,-2.8226125,,,,
                    1.42                     ,-2.8762194,,,,
                   1.424                     ,-2.9277462,,,,
                   1.428                     ,-2.9784421,,,,
                   1.432                     ,-3.0299001,,,,
                   1.436                     ,-3.0837833,,,,
               1.4400001                     ,-3.1415463,,,,
                   1.444                     ,-3.2041909,,,,
                   1.448                     ,-3.2721087,,,,
                   1.452                      ,-3.345012,,,,
                   1.456                     ,-3.4219856,,,,
                    1.46                     ,-3.5016298,,,,
                   1.464                     ,-3.5822998,,,,
               1.4680001                     ,-3.6623871,,,,
                   1.472                     ,-3.7406023,,,,
                   1.476                     ,-3.8162118,,,,
                    1.48                     ,-3.8891832,,,,
                   1.484                     ,-3.9601946,,,,
                   1.488                     ,-4.0305279,,,,
                   1.492                     ,-4.1018471,,,,
               1.4960001                     ,-4.1759152,,,,
                     1.5                     ,-4.2542991,,,,
               1.5039999                     ,-4.3381096,,,,
                   1.508                     ,-4.4278183,,,,
                   1.512                     ,-4.5231821,,,,
                   1.516                     ,-4.6232697,,,,
                    1.52                       ,-4.72662,,,,
                   1.524                     ,-4.8314707,,,,
                   1.528                      ,-4.936068,,,,
               1.5319999                     ,-5.0389745,,,,
                   1.536                     ,-5.1393316,,,,
                    1.54                     ,-5.2370364,,,,
                   1.544                     ,-5.3327737,,,,
                   1.548                      ,-5.427908,,,,
                   1.552                     ,-5.5242584,,,,
                   1.556                     ,-5.6237925,,,,
               1.5599999                     ,-5.7282912,,,,
                   1.564                     ,-5.8390645,,,,
                   1.568                     ,-5.9567261,,,,
                   1.572                     ,-6.0810908,,,,
                   1.576                     ,-6.2111945,,,,
                    1.58                     ,-6.3454372,,,,
                   1.584                     ,-6.4818412,,,,
               1.5880001                      ,-6.618385,,,,
                   1.592                     ,-6.7533659,,,,
