Column1,Column2,,
Frequency,S11,,
2,-16.8285,,
2.005,-16.8255,,
2.01,-16.8155,,
2.015,-16.8015,,
2.02,-16.7826,,
2.025,-16.7524,,
2.03,-16.7218,,
2.035,-16.69177,,
2.04,-16.50513,,
2.045,-16.12879,,
2.05,-15.55441,,
2.055,-14.83994,,
2.06,-14.10166,,
2.065,-13.3084,,
2.07,-12.52578,,
2.075,-11.79776,,
2.08,-11.12472,,
2.085,-10.48403,,
2.09,-9.903954,,
2.095,-9.418112,,
2.1,-8.948174,,
2.105,-8.571285,,
2.11,-8.246174,,
2.115,-7.977854,,
2.12,-7.760454,,
2.125,-7.569094,,
2.13,-7.376697,,
2.135,-7.20247,,
2.14,-7.042715,,
2.145,-6.878033,,
2.15,-6.721134,,
2.155,-6.541813,,
2.16,-6.386764,,
2.165,-6.216549,,
2.17,-6.048185,,
2.175,-5.894496,,
2.18,-5.75521,,
2.185,-5.632856,,
2.19,-5.5315,,
2.195,-5.438924,,
2.2,-5.351918,,
2.205,-5.265633,,
2.21,-5.206424,,
2.215,-5.156097,,
2.22,-5.121086,,
2.225,-5.091267,,
2.23,-5.0583,,
2.235,-5.028193,,
2.24,-4.996648,,
2.245,-4.966499,,
2.25,-4.923833,,
2.255,-4.883868,,
2.26,-4.860839,,
2.265,-4.821905,,
2.27,-4.808856,,
2.275,-4.795277,,
2.28,-4.784392,,
2.285,-4.788519,,
2.29,-4.787372,,
2.295,-4.80486,,
2.3,-4.82303,,
2.305,-4.847547,,
2.31,-4.874958,,
2.315,-4.918688,,
2.32,-4.969369,,
2.325,-5.023514,,
2.33,-5.135026,,
2.335,-5.266151,,
2.34,-5.415442,,
2.345,-5.593002,,
2.35,-5.813431,,
2.355,-6.074171,,
2.36,-6.38105,,
2.365,-6.722774,,
2.37,-7.068102,,
2.375,-7.446652,,
2.38,-7.865757,,
2.385,-8.3213,,
2.39,-8.810166,,
2.395,-9.355701,,
2.4,-9.980717,,
2.405,-10.71238,,
2.41,-11.58284,,
2.415,-12.61566,,
2.42,-13.88128,,
2.425,-15.33966,,
2.43,-17.13248,,
2.435,-19.16434,,
2.44,-21.11497,,
2.445,-22.20288,,
2.45,-21.74838,,
2.455,-20.25346,,
2.46,-18.61599,,
2.465,-17.19005,,
2.47,-15.96685,,
2.475,-14.88473,,
2.48,-13.96958,,
2.485,-13.11544,,
2.49,-12.33025,,
2.495,-11.61701,,
2.5,-10.95604,,
2.505,-10.36614,,
2.51,-9.836923,,
2.515,-9.391611,,
2.52,-9.0072,,
2.525,-8.700357,,
2.53,-8.486429,,
2.535,-8.31496,,
2.54,-8.202048,,
2.545,-8.152279,,
2.55,-8.161734,,
2.555,-8.188761,,
2.56,-8.241592,,
2.565,-8.338214,,
2.57,-8.435932,,
2.575,-8.547559,,
2.58,-8.658716,,
2.585,-8.75711,,
2.59,-8.885418,,
2.595,-9.034835,,
2.6,-9.22422,,
2.605,-9.451601,,
2.61,-9.740011,,
2.615,-10.11113,,
2.62,-10.52483,,
2.625,-11.02334,,
2.63,-11.59271,,
2.635,-12.24556,,
2.64,-12.95858,,
2.645,-13.7731,,
2.65,-14.62314,,
2.655,-14.72,,
2.66,-14.82,,
2.665,-14.85,,
2.67,-14.92,,
2.675,-14.95,,
2.68,-14.9565,,
2.685,-14.9825,,
2.69,-15.1258,,
2.695,-15.3285,,
2.7,-15.52653,,
2.705,-15.7258,,
2.71,-15.6258,,
2.715,-15.5268,,
2.72,-15.2585,,
2.725,-14.9852,,
2.73,-14.8525,,
2.735,-14.6524,,
2.74,-14.3585,,
2.745,-14.18659,,
2.75,-13.51937,,
2.755,-12.87194,,
2.76,-12.26804,,
2.765,-11.74359,,
2.77,-11.28941,,
2.775,-10.87485,,
2.78,-10.49211,,
2.785,-10.13972,,
2.79,-9.835168,,
2.795,-9.562901,,
2.8,-9.254477,,
2.805,-9.020491,,
2.81,-8.807285,,
2.815,-8.595798,,
2.82,-8.392437,,
2.825,-8.188323,,
2.83,-7.985868,,
2.835,-7.782979,,
2.84,-7.585599,,
2.845,-7.396724,,
2.85,-7.207928,,
2.855,-7.040081,,
2.86,-6.891348,,
2.865,-6.760699,,
2.87,-6.651454,,
2.875,-6.570087,,
2.88,-6.518667,,
2.885,-6.476788,,
2.89,-6.448309,,
2.895,-6.422117,,
2.9,-6.389555,,
2.905,-6.353935,,
2.91,-6.298118,,
2.915,-6.234726,,
2.92,-6.162564,,
2.925,-6.089623,,
2.93,-6.016331,,
2.935,-5.960814,,
2.94,-5.914405,,
2.945,-5.892292,,
2.95,-5.89268,,
2.955,-5.928703,,
2.96,-5.981977,,
2.965,-6.065013,,
2.97,-6.153287,,
2.975,-6.243612,,
2.98,-6.324384,,
2.985,-6.369509,,
2.99,-6.385211,,
2.995,-6.366794,,
3,-6.316939,,
