Theta[deg.],Gain(S),Gain(M)
0,0.9622,0.76976
1,0.9617,0.76936
2,0.9595,0.7676
3,0.9556,0.76448
4,0.95,0.76
5,0.9427,0.75416
6,0.9338,0.74704
7,0.9232,0.73856
8,0.911,0.7288
9,0.8972,0.71776
10,0.8817,0.70536
11,0.8648,0.69184
12,0.8462,0.67696
13,0.8262,0.66096
14,0.8047,0.64376
15,0.7817,0.62536
16,0.7574,0.60592
17,0.7317,0.58536
18,0.7046,0.56368
19,0.6763,0.54104
20,0.6468,0.51744
21,0.6161,0.49288
22,0.5843,0.46744
23,0.5514,0.44112
24,0.5175,0.414
25,0.4827,0.38616
26,0.4469,0.35752
27,0.4104,0.32832
28,0.373,0.2984
29,0.335,0.268
30,0.2963,0.23704
31,0.2571,0.20568
32,0.2173,0.17384
33,0.1772,0.14176
34,0.1366,0.10928
35,0.09583,0.076664
36,0.0548,0.04384
37,0.01362,0.010896
38,-0.02763,-0.022104
39,-0.06888,-0.055104
40,-0.1101,-0.08808
41,-0.1511,-0.12088
42,-0.192,-0.1536
43,-0.2325,-0.186
44,-0.2727,-0.21816
45,-0.3125,-0.25
46,-0.3519,-0.28152
47,-0.3907,-0.31256
48,-0.4289,-0.34312
49,-0.4664,-0.37312
50,-0.5033,-0.40264
51,-0.5393,-0.43144
52,-0.5746,-0.45968
53,-0.609,-0.4872
54,-0.6425,-0.514
55,-0.6751,-0.54008
56,-0.7067,-0.56536
57,-0.7373,-0.58984
58,-0.7668,-0.61344
59,-0.7953,-0.63624
60,-0.8226,-0.65808
61,-0.8488,-0.67904
62,-0.8739,-0.69912
63,-0.8978,-0.71824
64,-0.9206,-0.73648
65,-0.9422,-0.75376
66,-0.9625,-0.77
67,-0.9817,-0.78536
68,-0.9997,-0.79976
69,-1.016,-0.8128
70,-1.032,-0.8256
71,-1.046,-0.8368
72,-1.06,-0.848
73,-1.072,-0.8576
74,-1.082,-0.8656
75,-1.092,-0.8736
76,-1.101,-0.8808
77,-1.108,-0.8864
78,-1.114,-0.8912
79,-1.119,-0.8952
80,-1.123,-0.8984
81,-1.126,-0.9008
82,-1.127,-0.9016
83,-1.128,-0.9024
84,-1.127,-0.9016
85,-1.126,-0.9008
86,-1.123,-0.8984
87,-1.119,-0.8952
88,-1.114,-0.8912
89,-1.108,-0.8864
90,-1.101,-0.8808
91,-1.093,-0.8744
92,-1.084,-0.8672
93,-1.073,-0.8584
94,-1.062,-0.8496
95,-1.049,-0.8392
96,-1.036,-0.8288
97,-1.021,-0.8168
98,-1.005,-0.804
99,-0.9884,-0.79072
100,-0.9705,-0.7764
101,-0.9514,-0.76112
102,-0.9312,-0.74496
103,-0.9099,-0.72792
104,-0.8874,-0.70992
105,-0.8639,-0.69112
106,-0.8392,-0.67136
107,-0.8133,-0.65064
108,-0.7864,-0.62912
109,-0.7583,-0.60664
110,-0.7291,-0.58328
111,-0.6987,-0.55896
112,-0.6673,-0.53384
113,-0.6347,-0.50776
114,-0.6011,-0.48088
115,-0.5663,-0.45304
116,-0.5306,-0.42448
117,-0.4937,-0.39496
118,-0.4558,-0.36464
119,-0.417,-0.3336
120,-0.3772,-0.30176
121,-0.3364,-0.26912
122,-0.2947,-0.23576
123,-0.2521,-0.20168
124,-0.2088,-0.16704
125,-0.1646,-0.13168
126,-0.1196,-0.09568
127,-0.07402,-0.059216
128,-0.02774,-0.022192
129,0.01914,0.015312
130,0.06656,0.053248
131,0.1145,0.0916
132,0.1628,0.13024
133,0.2115,0.1692
134,0.2605,0.2084
135,0.3098,0.24784
136,0.3592,0.28736
137,0.4088,0.32704
138,0.4584,0.36672
139,0.508,0.4064
140,0.5574,0.44592
141,0.6068,0.48544
142,0.6559,0.52472
143,0.7047,0.56376
144,0.7531,0.60248
145,0.8011,0.64088
146,0.8486,0.67888
147,0.8955,0.7164
148,0.9418,0.75344
149,0.9874,0.78992
150,1.032,0.8256
151,1.076,0.8608
152,1.119,0.8952
153,1.161,0.9288
154,1.203,0.9624
155,1.243,0.9944
156,1.282,1.0256
157,1.319,1.0552
158,1.356,1.0848
159,1.391,1.1128
160,1.425,1.14
161,1.458,1.1664
162,1.489,1.1912
163,1.518,1.2144
164,1.547,1.2376
165,1.573,1.2584
166,1.598,1.2784
167,1.622,1.2976
168,1.644,1.3152
169,1.664,1.3312
170,1.682,1.3456
171,1.699,1.3592
172,1.714,1.3712
173,1.727,1.3816
174,1.738,1.3904
175,1.748,1.3984
176,1.756,1.4048
177,1.762,1.4096
178,1.766,1.4128
179,1.768,1.4144
180,1.769,1.4152
179,1.767,1.4136
178,1.764,1.4112
177,1.759,1.4072
176,1.752,1.4016
175,1.744,1.3952
174,1.733,1.3864
173,1.721,1.3768
172,1.707,1.3656
171,1.691,1.3528
170,1.673,1.3384
169,1.654,1.3232
168,1.633,1.3064
167,1.61,1.288
166,1.586,1.2688
165,1.56,1.248
164,1.533,1.2264
163,1.503,1.2024
162,1.473,1.1784
161,1.441,1.1528
160,1.407,1.1256
159,1.372,1.0976
158,1.336,1.0688
157,1.299,1.0392
156,1.26,1.008
155,1.22,0.976
154,1.179,0.9432
153,1.137,0.9096
152,1.094,0.8752
151,1.05,0.84
150,1.004,0.8032
149,0.9586,0.76688
148,0.912,0.7296
147,0.8646,0.69168
146,0.8166,0.65328
145,0.768,0.6144
144,0.719,0.5752
143,0.6694,0.53552
142,0.6195,0.4956
141,0.5693,0.45544
140,0.5189,0.41512
139,0.4683,0.37464
138,0.4176,0.33408
137,0.3668,0.29344
136,0.3162,0.25296
135,0.2656,0.21248
134,0.2152,0.17216
133,0.1651,0.13208
132,0.1152,0.09216
131,0.06576,0.052608
130,0.01673,0.013384
129,-0.03181,-0.025448
128,-0.0798,-0.06384
127,-0.1272,-0.10176
126,-0.1739,-0.13912
125,-0.2199,-0.17592
124,-0.2651,-0.21208
123,-0.3096,-0.24768
122,-0.3532,-0.28256
121,-0.3959,-0.31672
120,-0.4376,-0.35008
119,-0.4785,-0.3828
118,-0.5183,-0.41464
117,-0.5571,-0.44568
116,-0.5948,-0.47584
115,-0.6315,-0.5052
114,-0.6671,-0.53368
113,-0.7016,-0.56128
112,-0.7349,-0.58792
111,-0.7671,-0.61368
110,-0.7982,-0.63856
109,-0.8281,-0.66248
108,-0.8569,-0.68552
107,-0.8845,-0.7076
106,-0.9109,-0.72872
105,-0.9362,-0.74896
