Theta[deg.],Abs(Gain)[dBi],Gain(M)
0,0.9622,0.76976
1,1.127,0.9016
2,1.285,1.028
3,1.436,1.1488
4,1.581,1.2648
5,1.72,1.376
6,1.852,1.4816
7,1.978,1.5824
8,2.098,1.6784
9,2.211,1.7688
10,2.318,1.8544
11,2.42,1.936
12,2.515,2.012
13,2.603,2.0824
14,2.686,2.1488
15,2.763,2.2104
16,2.834,2.2672
17,2.899,2.3192
18,2.958,2.3664
19,3.011,2.4088
20,3.058,2.4464
21,3.099,2.4792
22,3.134,2.5072
23,3.164,2.5312
24,3.187,2.5496
25,3.205,2.564
26,3.217,2.5736
27,3.223,2.5784
28,3.223,2.5784
29,3.217,2.5736
30,3.205,2.564
31,3.188,2.5504
32,3.164,2.5312
33,3.134,2.5072
34,3.099,2.4792
35,3.057,2.4456
36,3.01,2.408
37,2.956,2.3648
38,2.896,2.3168
39,2.83,2.264
40,2.757,2.2056
41,2.678,2.1424
42,2.593,2.0744
43,2.501,2.0008
44,2.403,1.9224
45,2.297,1.8376
46,2.185,1.748
47,2.066,1.6528
48,1.939,1.5512
49,1.805,1.444
50,1.664,1.3312
51,1.514,1.2112
52,1.357,1.0856
53,1.191,0.9528
54,1.017,0.8136
55,0.8344,0.66752
56,0.6423,0.51384
57,0.4407,0.35256
58,0.2292,0.18336
59,0.00734,0.005872
60,-0.2254,-0.18032
61,-0.4696,-0.37568
62,-0.7258,-0.58064
63,-0.9948,-0.79584
64,-1.277,-1.0216
65,-1.574,-1.2592
66,-1.886,-1.5088
67,-2.215,-1.772
68,-2.561,-2.0488
69,-2.926,-2.3408
70,-3.312,-2.6496
71,-3.721,-2.9768
72,-4.154,-3.3232
73,-4.615,-3.692
74,-5.107,-4.0856
75,-5.632,-4.5056
76,-6.196,-4.9568
77,-6.803,-5.4424
78,-7.461,-5.9688
79,-8.177,-6.5416
80,-8.963,-7.1704
81,-9.83,-7.864
82,-10.8,-8.64
83,-11.89,-9.512
84,-13.15,-10.52
85,-14.62,-11.696
86,-16.39,-13.112
87,-18.62,-14.896
88,-21.58,-17.264
89,-25.91,-20.728
90,-32.29,-25.832
91,-29.81,-23.848
92,-24.06,-19.248
93,-20.35,-16.28
94,-17.71,-14.168
95,-15.67,-12.536
96,-14.02,-11.216
97,-12.63,-10.104
98,-11.44,-9.152
99,-10.39,-8.312
100,-9.46,-7.568
101,-8.621,-6.8968
102,-7.859,-6.2872
103,-7.162,-5.7296
104,-6.52,-5.216
105,-5.925,-4.74
106,-5.372,-4.2976
107,-4.856,-3.8848
108,-4.372,-3.4976
109,-3.917,-3.1336
110,-3.489,-2.7912
111,-3.085,-2.468
112,-2.702,-2.1616
113,-2.34,-1.872
114,-1.996,-1.5968
115,-1.669,-1.3352
116,-1.358,-1.0864
117,-1.061,-0.8488
118,-0.779,-0.6232
119,-0.5098,-0.40784
120,-0.253,-0.2024
121,-0.007837,-0.0062696
122,0.2262,0.18096
123,0.4497,0.35976
124,0.6631,0.53048
125,0.8668,0.69344
126,1.061,0.8488
127,1.247,0.9976
128,1.424,1.1392
129,1.592,1.2736
130,1.753,1.4024
131,1.906,1.5248
132,2.051,1.6408
133,2.189,1.7512
134,2.32,1.856
135,2.444,1.9552
136,2.56,2.048
137,2.671,2.1368
138,2.774,2.2192
139,2.871,2.2968
140,2.962,2.3696
141,3.046,2.4368
142,3.125,2.5
143,3.197,2.5576
144,3.263,2.6104
145,3.323,2.6584
146,3.377,2.7016
147,3.425,2.74
148,3.467,2.7736
149,3.504,2.8032
150,3.534,2.8272
151,3.559,2.8472
152,3.578,2.8624
153,3.592,2.8736
154,3.6,2.88
155,3.602,2.8816
156,3.598,2.8784
157,3.589,2.8712
158,3.574,2.8592
159,3.553,2.8424
160,3.527,2.8216
161,3.495,2.796
162,3.457,2.7656
163,3.413,2.7304
164,3.364,2.6912
165,3.309,2.6472
166,3.248,2.5984
167,3.181,2.5448
168,3.109,2.4872
169,3.03,2.424
170,2.946,2.3568
171,2.856,2.2848
172,2.76,2.208
173,2.657,2.1256
174,2.549,2.0392
175,2.435,1.948
176,2.314,1.8512
177,2.187,1.7496
178,2.054,1.6432
179,1.915,1.532
180,1.769,1.4152
179,1.617,1.2936
178,1.458,1.1664
177,1.293,1.0344
176,1.121,0.8968
175,0.943,0.7544
174,0.7579,0.60632
173,0.566,0.4528
172,0.3673,0.29384
171,0.1616,0.12928
170,-0.05117,-0.040936
169,-0.271,-0.2168
168,-0.498,-0.3984
167,-0.7324,-0.58592
166,-0.974,-0.7792
165,-1.223,-0.9784
164,-1.48,-1.184
163,-1.744,-1.3952
162,-2.016,-1.6128
161,-2.296,-1.8368
160,-2.584,-2.0672
159,-2.88,-2.304
158,-3.184,-2.5472
157,-3.496,-2.7968
156,-3.817,-3.0536
155,-4.146,-3.3168
154,-4.483,-3.5864
153,-4.829,-3.8632
152,-5.184,-4.1472
151,-5.548,-4.4384
150,-5.92,-4.736
149,-6.301,-5.0408
148,-6.691,-5.3528
147,-7.09,-5.672
146,-7.498,-5.9984
145,-7.915,-6.332
144,-8.34,-6.672
143,-8.774,-7.0192
142,-9.216,-7.3728
141,-9.666,-7.7328
140,-10.12,-8.096
139,-10.59,-8.472
138,-11.06,-8.848
137,-11.54,-9.232
136,-12.02,-9.616
135,-12.51,-10.008
134,-13,-10.4
133,-13.49,-10.792
132,-13.98,-11.184
131,-14.47,-11.576
130,-14.96,-11.968
129,-15.45,-12.36
128,-15.92,-12.736
127,-16.39,-13.112
126,-16.85,-13.48
125,-17.3,-13.84
124,-17.73,-14.184
123,-18.15,-14.52
122,-18.55,-14.84
121,-18.94,-15.152
120,-19.31,-15.448
119,-19.67,-15.736
118,-20.02,-16.016
117,-20.35,-16.28
116,-20.68,-16.544
115,-21.01,-16.808
114,-21.33,-17.064
113,-21.65,-17.32
112,-21.98,-17.584
111,-22.32,-17.856
110,-22.67,-18.136
109,-23.05,-18.44
108,-23.44,-18.752
107,-23.86,-19.088
106,-24.31,-19.448
105,-24.8,-19.84
104,-25.33,-20.264
103,-25.92,-20.736
102,-26.56,-21.248
101,-27.26,-21.808
100,-28.04,-22.432
99,-28.9,-23.12
98,-29.85,-23.88
97,-30.91,-24.728
96,-32.05,-25.64
95,-33.24,-26.592
94,-34.38,-27.504
93,-35.25,-28.2
92,-35.58,-28.464
91,-35.19,-28.152
90,-34.25,-27.4
89,-33.02,-26.416
88,-31.73,-25.384
87,-30.48,-24.384
86,-29.33,-23.464
85,-28.27,-22.616
84,-27.31,-21.848
83,-26.43,-21.144
82,-25.64,-20.512
81,-24.91,-19.928
80,-24.24,-19.392
79,-23.62,-18.896
78,-23.05,-18.44
77,-22.53,-18.024
76,-22.04,-17.632
75,-21.59,-17.272
74,-21.17,-16.936
73,-20.78,-16.624
72,-20.41,-16.328
71,-20.07,-16.056
70,-19.75,-15.8
69,-19.45,-15.56
68,-19.17,-15.336
67,-18.9,-15.12
66,-18.65,-14.92
65,-18.4,-14.72
64,-18.17,-14.536
63,-17.94,-14.352
62,-17.72,-14.176
61,-17.51,-14.008
60,-17.29,-13.832
59,-17.07,-13.656
58,-16.85,-13.48
57,-16.63,-13.304
56,-16.4,-13.12
55,-16.16,-12.928
54,-15.91,-12.728
53,-15.65,-12.52
52,-15.38,-12.304
51,-15.1,-12.08
50,-14.8,-11.84
49,-14.49,-11.592
48,-14.16,-11.328
47,-13.82,-11.056
46,-13.47,-10.776
45,-13.11,-10.488
44,-12.74,-10.192
43,-12.36,-9.888
42,-11.98,-9.584
41,-11.58,-9.264
40,-11.19,-8.952
39,-10.79,-8.632
38,-10.39,-8.312
37,-9.983,-7.9864
36,-9.582,-7.6656
35,-9.182,-7.3456
34,-8.784,-7.0272
33,-8.39,-6.712
32,-8,-6.4
31,-7.614,-6.0912
30,-7.234,-5.7872
29,-6.859,-5.4872
28,-6.49,-5.192
27,-6.127,-4.9016
26,-5.771,-4.6168
25,-5.422,-4.3376
24,-5.08,-4.064
23,-4.744,-3.7952
22,-4.416,-3.5328
21,-4.096,-3.2768
20,-3.782,-3.0256
19,-3.476,-2.7808
18,-3.178,-2.5424
17,-2.887,-2.3096
16,-2.603,-2.0824
15,-2.327,-1.8616
14,-2.058,-1.6464
13,-1.796,-1.4368
12,-1.541,-1.2328
11,-1.294,-1.0352
10,-1.054,-0.8432
9,-0.8214,-0.65712
8,-0.5956,-0.47648
7,-0.3769,-0.30152
6,-0.1651,-0.13208
5,0.03977,0.031816
4,0.2378,0.19024
3,0.4289,0.34312
2,0.6134,0.49072
1,0.7911,0.63288
