Column1.1,Column1.2
               Frequency                         ,S11
                       1                     ,-1.8851941
               1.0039999                     ,-1.9028707
                   1.008                     ,-1.9205766
                   1.012                     ,-1.938425
                   1.016                     ,-1.9565366
                    1.02                     ,-1.9750341
                   1.024                     ,-1.9940379
                   1.028                     ,-2.0136634
               1.0319999                     ,-2.0340118
                   1.036                     ,-2.0551743
                    1.04                     ,-2.0772231
                   1.044                     ,-2.1002124
                   1.048                     ,-2.1241749
                   1.052                     ,-2.1491207
                   1.056                     ,-2.1750396
               1.0599999                     ,-2.2019004
                   1.064                     ,-2.2296513
                   1.068                     ,-2.2582242
                   1.072                     ,-2.287535
                   1.076                     ,-2.317488
                    1.08                     ,-2.3479821
                   1.084                     ,-2.3789106
               1.0880001                     ,-2.4101679
                   1.092                     ,-2.4416536
                   1.096                     ,-2.4732749
                     1.1                     ,-2.5049528
                   1.104                     ,-2.536624
                   1.108                     ,-2.5682419
                   1.112                     ,-2.5997828
               1.1160001                      ,-2.6312434
                    1.12                     ,-2.6626429
                   1.124                     ,-2.6940213
                   1.128                     ,-2.7254416
                   1.132                     ,-2.7569823
                   1.136                     ,-2.7887385
                    1.14                     ,-2.8208188
               1.1440001                     ,-2.8533387
                   1.148                     ,-2.8864216
                   1.152                     ,-2.9201868
                   1.156                     ,-2.9547551
                    1.16                     ,-2.9902371
                   1.164                     ,-3.0267319
                   1.168                     ,-3.0643275
               1.1720001                     ,-3.1030912
                   1.176                      ,-3.1430739
               1.1799999                      ,-3.1843043
                   1.184                     ,-3.226791
                   1.188                     ,-3.2705204
                   1.192                     ,-3.3154594
                   1.196                     ,-3.3615542
                     1.2                     ,-3.4087358
                   1.204                     ,-3.4569193
               1.2079999                      ,-3.5060077
                   1.212                     ,-3.5559004
                   1.216                     ,-3.606487
                    1.22                     ,-3.6576634
                   1.224                     ,-3.7093242
                   1.228                     ,-3.761377
                   1.232                     ,-3.8137399
               1.2359999                     ,-3.8663451
                    1.24                     ,-3.9191449
                   1.244                     ,-3.9721095
                   1.248                     ,-4.025233
                   1.252                     ,-4.0785313
                   1.256                     ,-4.1320408
                    1.26                     ,-4.1858182
               1.2640001                     ,-4.2399434
                   1.268                     ,-4.2945074
                   1.272                     ,-4.3496189
                   1.276                     ,-4.4053945
                    1.28                     ,-4.4619564
                   1.284                     ,-4.5194275
                   1.288                      ,-4.5779304
               1.2920001                     ,-4.6375817
                   1.296                     ,-4.6984842
                     1.3                     ,-4.7607283
                   1.304                     ,-4.8243874
                   1.308                     ,-4.889515
                   1.312                     ,-4.956143
                   1.316                     ,-5.0242807
               1.3200001                      ,-5.093914
                   1.324                     ,-5.1650034
               1.3279999                     ,-5.2374926
                   1.332                      ,-5.3112959
                   1.336                     ,-5.3863188
                    1.34                     ,-5.4624453
                   1.344                     ,-5.5395495
                   1.348                     ,-5.6174976
                   1.352                      ,-5.6961511
               1.3559999                     ,-5.7753742
                    1.36                     ,-5.8550341
                   1.364                     ,-5.9350083
                   1.368                     ,-6.015187
                   1.372                     ,-6.0954791
                   1.376                     ,-6.1758126
                    1.38                     ,-6.2561361
               1.3839999                     ,-6.3364248
                   1.388                     ,-6.416677
                   1.392                     ,-6.4969156
                   1.396                     ,-6.5771855
                     1.4                     ,-6.657554
                   1.404                     ,-6.7381065
                   1.408                     ,-6.8189416
               1.4119999                      ,-6.9001711
                   1.416                      ,-6.9819094
                    1.42                     ,-7.064275
