Column1,Column2,Column3,Column4,Column5,Column6
                 Frequency                     ,S11_It0,S11_It1,S11_It2,S11_It3,S11_It4
1,-0.028545922,-0.13329021,-0.3617214,-0.31978002,-0.38812211
1.0039999,-0.02355127,-0.14126028,-0.36505306,-0.3214553,-0.38649823
1.008,-0.019030833,-0.14813861,-0.36830248,-0.32373271,-0.38124752
1.012,-0.015011439,-0.1537972,-0.37149258,-0.32728278,-0.37455371
1.016,-0.011514547,-0.15813021,-0.37464667,-0.33251957,-0.36882752
1.02,-0.008558218,-0.16106348,-0.37778932,-0.33952062,-0.36628448
1.024,-0.006154696,-0.1625503,-0.38094535,-0.34801415,-0.36856782
1.028,-0.004315091,-0.16257417,-0.38413914,-0.35744261,-0.3764902
1.0319999,-0.003041322,-0.16114975,-0.3873956,-0.36707795,-0.38991078
1.036,-0.002335589,-0.15832021,-0.39074016,-0.37618283,-0.40777551
1.04,-0.002192138,-0.15415815,-0.39419736,-0.38416367,-0.42829687
1.044,-0.002602354,-0.14876214,-0.39779204,-0.39069599,-0.44926879
1.048,-0.003554508,-0.14225418,-0.40154776,-0.39579263,-0.46844535
1.052,-0.005031205,-0.13477817,-0.40548833,-0.39979607,-0.48394062
1.056,-0.00701162,-0.1264941,-0.40963665,-0.40330174,-0.49456726
1.0599999,-0.009473163,-0.11757669,-0.41401355,-0.40702907,-0.50004937
1.064,-0.012387975,-0.10821033,-0.41864091,-0.41166763,-0.50106211
1.068,-0.015725705,-0.098585104,-0.42353809,-0.41773233,-0.4990941
1.072,-0.019452449,-0.088893719,-0.42872365,-0.42545919,-0.49616382
1.076,-0.023533422,-0.079326042,-0.43421414,-0.43476021,-0.49445324
1.08,-0.027929591,-0.070067189,-0.44002674,-0.44524453,-0.4959219
1.084,-0.032602368,-0.061292523,-0.44617466,-0.45630629,-0.50198022
1.0880001,-0.03750908,-0.05316628,-0.45267176,-0.46725077,-0.5132639
1.092,-0.042606639,-0.045836686,-0.45952919,-0.47744693,-0.52954196
1.096,-0.047851472,-0.039433638,-0.46675669,-0.48645797,-0.54976652
1.1,-0.053199427,-0.034071208,-0.47436424,-0.49413598,-0.57225203
1.104,-0.058604643,-0.029839944,-0.48235733,-0.50064925,-0.59497209
1.108,-0.064023038,-0.026806084,-0.49074202,-0.50644576,-0.61590734
1.112,-0.069410487,-0.025015091,-0.49952231,-0.51215368,-0.63340368
1.1160001,-0.074722331,-0.024488183,-0.50869981,-0.51844811,-0.64647197
1.12,-0.079917576,-0.025222135,-0.51827585,-0.52590708,-0.65496127
1.124,-0.084954733,-0.027192029,-0.52825061,-0.53489431,-0.6595796
1.128,-0.089795588,-0.030346072,-0.53862123,-0.54548353,-0.6617528
1.132,-0.094400735,-0.034614155,-0.54938451,-0.55744981,-0.66335706
1.136,-0.098737927,-0.039903609,-0.56053622,-0.57031524,-0.66638279
1.14,-0.10277413,-0.046104457,-0.57207079,-0.58345817,-0.67258518
1.1440001,-0.10648039,-0.053089415,-0.58398148,-0.59623968,-0.6831933
1.148,-0.1098308,-0.060716654,-0.59625918,-0.60814186,-0.69871186
1.152,-0.11280137,-0.068833709,-0.6088978,-0.61887857,-0.71885
1.156,-0.1153751,-0.077276846,-0.62188511,-0.62845526,-0.74257869
1.16,-0.11753481,-0.085879564,-0.63521139,-0.63716355,-0.76830615
1.164,-0.11926929,-0.094471249,-0.64886674,-0.64552073,-0.79415576
1.168,-0.12057019,-0.1028818,-0.662838,-0.65415701,-0.81829135
1.1720001,-0.12143176,-0.11094747,-0.67711512,-0.66367892,-0.8392397
1.176,-0.12185611,-0.11850978,-0.69168416,-0.67454851,-0.85616071
1.1799999,-0.1218431,-0.1254213,-0.70653373,-0.68698466,-0.8689903
1.184,-0.12140102,-0.13155079,-0.72165042,-0.70092401,-0.87845053
1.188,-0.12053893,-0.13677954,-0.73702315,-0.71603149,-0.88590845
1.192,-0.11927203,-0.14101099,-0.75263836,-0.7317793,-0.89312449
1.196,-0.11761577,-0.14416874,-0.76848378,-0.74755763,-0.90193772
1.2,-0.11558931,-0.14619866,-0.78454873,-0.76280137,-0.9139482
1.204,-0.11321598,-0.14707066,-0.80082098,-0.77711585,-0.93025176
1.2079999,-0.11052104,-0.14677697,-0.81729061,-0.79035575,-0.95126494
1.212,-0.10753187,-0.14533648,-0.83394726,-0.80266062,-0.976662
1.216,-0.1042767,-0.14279008,-0.85078167,-0.81441832,-1.0054409
1.22,-0.10078709,-0.13920084,-0.86778651,-0.82618519,-1.0360917
1.224,-0.097095924,-0.13465293,-0.88495196,-0.83856759,-1.0668593
1.228,-0.093235946,-0.12924889,-0.9022737,-0.85209445,-1.0960439
1.232,-0.089243054,-0.12310829,-0.91974545,-0.86710733,-1.1223106
1.2359999,-0.085151313,-0.11636309,-0.93736271,-0.88369258,-1.1449189
1.24,-0.080995663,-0.10915721,-0.95512288,-0.90166721,-1.1638601
1.244,-0.076812317,-0.10164014,-0.97302459,-0.92061642,-1.1798577
1.248,-0.072634459,-0.093968213,-0.99106547,-0.93998712,-1.1942245
1.252,-0.068497439,-0.086296667,-1.0092486,-0.95920102,-1.2086301
1.256,-0.064435098,-0.078778308,-1.0275745,-0.97778155,-1.2248016
1.26,-0.060478268,-0.071564775,-1.0460462,-0.9954546,-1.2442294
1.2640001,-0.056659053,-0.064795464,-1.0646689,-1.0122056,-1.267921
1.268,-0.053005417,-0.058601069,-1.0834477,-1.0282846,-1.2962365
1.272,-0.049544994,-0.053100837,-1.1023913,-1.04415,-1.3288401
1.276,-0.046303823,-0.048397564,-1.1215077,-1.0603747,-1.3647568
1.28,-0.043305227,-0.044578407,-1.1408061,-1.0775214,-1.4025431
1.284,-0.040569634,-0.041713171,-1.1602962,-1.0960301,-1.4405319
1.288,-0.038116375,-0.039851744,-1.1799923,-1.1161256,-1.4771232
1.2920001,-0.035960827,-0.039025229,-1.1999067,-1.1377757,-1.5110678
1.296,-0.034117776,-0.039244031,-1.2200517,-1.1606955,-1.5416897
1.3,-0.032597023,-0.040500894,-1.2404446,-1.1844168,-1.5690116
1.304,-0.031406741,-0.042764541,-1.2611004,-1.2083794,-1.5937451
1.308,-0.030553038,-0.04598938,-1.2820351,-1.2320595,-1.6171656
1.312,-0.030038746,-0.050109317,-1.3032679,-1.2550729,-1.6408808
1.316,-0.029863472,-0.055040737,-1.3248157,-1.2772652,-1.6665487
1.3200001,-0.030025073,-0.060687978,-1.3466975,-1.2987401,-1.6955978
1.324,-0.03051866,-0.066937555,-1.3689323,-1.3198407,-1.7289878
1.3279999,-0.031336177,-0.073668605,-1.3915403,-1.3410744,-1.7670568
1.332,-0.032467359,-0.080749096,-1.4145394,-1.3630083,-1.8094725
1.336,-0.033900064,-0.088041125,-1.4379514,-1.38615,-1.8552886
1.34,-0.035619364,-0.095403932,-1.4617959,-1.410845,-1.9031054
1.344,-0.037609856,-0.10269372,-1.4860931,-1.4372023,-1.9513088
1.348,-0.039850754,-0.10976983,-1.5108645,-1.4650813,-1.9983494
1.352,-0.042323287,-0.11649632,-1.5361286,-1.4941149,-2.043018
1.3559999,-0.045005908,-0.12274459,-1.5619052,-1.5237935,-2.0846624
1.36,-0.047873878,-0.12839476,-1.5882152,-1.5535753,-2.123308
1.364,-0.050902308,-0.13334175,-1.6150762,-1.5829943,-2.1596546
1.368,-0.054067419,-0.13749249,-1.642509,-1.6117701,-2.1949524
1.372,-0.057341914,-0.14077434,-1.6705301,-1.6398642,-2.2307815
1.376,-0.060698826,-0.14312816,-1.6991585,-1.6674881,-2.2687753
1.38,-0.064110744,-0.14451792,-1.7284118,-1.6950634,-2.3103478
1.3839999,-0.067550382,-0.14492614,-1.7583052,-1.7231322,-2.356457
1.388,-0.070990883,-0.14435535,-1.788856,-1.7522422,-2.4074525
1.392,-0.074404115,-0.14282896,-1.8200781,-1.7828377,-2.4630166
1.396,-0.077763439,-0.14039049,-1.8519878,-1.8151627,-2.522227
