Column1,Column2,Column3,Column4,Column5
                 Frequency                      ,S11(S)_Ry20,S11_Shisted,S11(S)_Rx20,S11(M)_Rx20
1,-0.40980335,-0.41668919,-0.370853379,-0.28776801
1.0039999,-0.41668919,-0.42357503,-0.376981777,-0.292603316
1.008,-0.42357503,-0.41668919,-0.370853379,-0.297438622
1.012,-0.43046087,-0.40980335,-0.364724982,-0.302273928
1.016,-0.43734671,-0.41668919,-0.370853379,-0.307109233
1.02,-0.44423255,-0.42357503,-0.376981777,-0.311944539
1.024,-0.45111839,-0.43046087,-0.383110174,-0.316779845
1.028,-0.45800423,-0.43734671,-0.389238572,-0.32161515
1.0319999,-0.46489007,-0.44423255,-0.39536697,-0.326450456
1.036,-0.47177591,-0.45111839,-0.401495367,-0.331285762
1.04,-0.47866175,-0.45800423,-0.407623765,-0.336121067
1.044,-0.48554759,-0.46489007,-0.413752162,-0.340956373
1.048,-0.49243343,-0.47177591,-0.41988056,-0.345791679
1.052,-0.49931927,-0.47866175,-0.426008958,-0.350626985
1.056,-0.50620511,-0.48554759,-0.432137355,-0.35546229
1.0599999,-0.51309095,-0.49243343,-0.438265753,-0.360297596
1.064,-0.51997679,-0.49931927,-0.44439415,-0.365132902
1.068,-0.52686263,-0.50620511,-0.450522548,-0.369968207
1.072,-0.53374847,-0.51309095,-0.456650946,-0.374803513
1.076,-0.54063431,-0.51997679,-0.462779343,-0.379638819
1.08,-0.54752015,-0.52686263,-0.468907741,-0.384474125
1.084,-0.55440599,-0.53374847,-0.475036138,-0.38930943
1.0880001,-0.56129183,-0.54063431,-0.481164536,-0.394144736
1.092,-0.55278447,-0.54752015,-0.487292934,-0.388170783
1.096,-0.54427711,-0.55440599,-0.493421331,-0.382196829
1.1,-0.53576975,-0.56129183,-0.499549729,-0.376222876
1.104,-0.52726239,-0.55278447,-0.491978178,-0.370248923
1.108,-0.51875503,-0.54427711,-0.484406628,-0.36427497
1.112,-0.51024767,-0.53576975,-0.476835078,-0.358301016
1.1160001,-0.50174031,-0.52726239,-0.469263527,-0.352327063
1.12,-0.49323295,-0.51875503,-0.461691977,-0.34635311
1.124,-0.48472559,-0.51024767,-0.454120426,-0.340379157
1.128,-0.47621823,-0.50174031,-0.446548876,-0.334405203
1.132,-0.46771087,-0.49323295,-0.438977326,-0.32843125
1.136,-0.45920351,-0.48472559,-0.431405775,-0.322457297
1.14,-0.45069615,-0.47621823,-0.423834225,-0.316483343
1.1440001,-0.44218879,-0.46771087,-0.416262674,-0.31050939
1.148,-0.43368143,-0.45920351,-0.408691124,-0.304535437
1.152,-0.42517407,-0.45069615,-0.401119574,-0.298561484
1.156,-0.41666671,-0.44218879,-0.393548023,-0.29258753
1.16,-0.40815935,-0.43368143,-0.385976473,-0.286613577
1.164,-0.39965199,-0.42517407,-0.378404922,-0.280639624
1.168,-0.39114463,-0.41666671,-0.370833372,-0.274665671
1.1720001,-0.38263727,-0.40815935,-0.363261822,-0.268691717
1.176,-0.37412991,-0.39965199,-0.355690271,-0.262717764
1.1799999,-0.36562255,-0.39114463,-0.348118721,-0.256743811
1.184,-0.35711519,-0.38263727,-0.34054717,-0.250769858
1.188,-0.34860783,-0.37412991,-0.33297562,-0.244795904
1.192,-0.34010047,-0.36562255,-0.32540407,-0.238821951
1.196,-0.33159311,-0.35711519,-0.317832519,-0.232847998
1.2,-0.32308575,-0.34860783,-0.310260969,-0.226874045
1.204,-0.31457839,-0.34010047,-0.302689418,-0.220900091
1.2079999,-0.30607103,-0.33159311,-0.295117868,-0.214926138
1.212,-0.29756367,-0.32308575,-0.287546318,-0.208952185
1.216,-0.28905631,-0.31457839,-0.279974767,-0.202978231
