Column1,Column4,Column3,Column4,Column5,Column6
                 Frequency                      ,S11(S)_Ry40,S11_Shifted,S11(S)_Rx40,S11_Shift,S11(M)_Rx40
1,0.00406189,-0.00728169,-0.006553521,-0.02429706,-0.017078403
1.0039999,-0.0016099,-0.01295348,-0.011658132,-0.02996885,-0.021065105
1.008,-0.00728169,-0.01862527,-0.016762743,-0.03564064,-0.025051806
1.012,-0.01295348,-0.02429706,-0.021867354,-0.04131243,-0.029038507
1.016,-0.01862527,-0.02996885,-0.026971965,-0.04698422,-0.033025208
1.02,-0.02429706,-0.03564064,-0.032076576,-0.05265601,-0.037011909
1.024,-0.02996885,-0.04131243,-0.037181187,-0.0583278,-0.040998611
1.028,-0.03564064,-0.04698422,-0.042285798,-0.06399959,-0.044985312
1.0319999,-0.04131243,-0.05265601,-0.047390409,-0.06967138,-0.048972013
1.036,-0.04698422,-0.0583278,-0.05249502,-0.07534317,-0.052958714
1.04,-0.05265601,-0.06399959,-0.057599631,-0.08101496,-0.056945415
1.044,-0.0583278,-0.06967138,-0.062704242,-0.08668675,-0.060932117
1.048,-0.06399959,-0.07534317,-0.067808853,-0.09235854,-0.064918818
1.052,-0.06967138,-0.08101496,-0.072913464,-0.09803033,-0.068905519
1.056,-0.07534317,-0.08668675,-0.078018075,-0.10370212,-0.07289222
1.0599999,-0.08101496,-0.09235854,-0.083122686,-0.10937391,-0.076878921
1.064,-0.08668675,-0.09803033,-0.088227297,-0.1150457,-0.080865623
1.068,-0.09235854,-0.10370212,-0.093331908,-0.12071749,-0.084852324
1.072,-0.09803033,-0.10937391,-0.098436519,-0.11591331,-0.081475466
1.076,-0.10370212,-0.1150457,-0.10354113,-0.11110913,-0.078098607
1.08,-0.10937391,-0.12071749,-0.108645741,-0.10630495,-0.074721749
1.084,-0.1150457,-0.11591331,-0.104321979,-0.10150077,-0.071344891
1.0880001,-0.12071749,-0.11110913,-0.099998217,-0.09669659,-0.067968033
1.092,-0.11591331,-0.10630495,-0.095674455,-0.09189241,-0.064591175
1.096,-0.11110913,-0.10150077,-0.091350693,-0.08708823,-0.061214317
1.1,-0.10630495,-0.09669659,-0.087026931,-0.08228405,-0.057837459
1.104,-0.10150077,-0.09189241,-0.082703169,-0.07747987,-0.054460601
1.108,-0.09669659,-0.08708823,-0.078379407,-0.07267569,-0.051083743
1.112,-0.09189241,-0.08228405,-0.074055645,-0.06787151,-0.047706884
1.1160001,-0.08708823,-0.07747987,-0.069731883,-0.06306733,-0.044330026
1.12,-0.08228405,-0.07267569,-0.065408121,-0.05826315,-0.040953168
1.124,-0.07747987,-0.06787151,-0.061084359,-0.05345897,-0.03757631
1.128,-0.07267569,-0.06306733,-0.056760597,-0.04865479,-0.034199452
1.132,-0.06787151,-0.05826315,-0.052436835,-0.04385061,-0.030822594
