Column1,Column2,Column3,Column4,column5,Column6
                 Frequency                      ,S11(S)_Ry80,S11_Shifted,S11(S)_Rx80,S11_Shifted,S11(M)_Rx80
1,-0.15863286,-0.19714842,-0.187290999,-0.23566398,-0.181225601
1.0039999,-0.17789064,-0.2164062,-0.20558589,-0.25492176,-0.196034833
1.008,-0.19714842,-0.23566398,-0.223880781,-0.27417954,-0.210844066
1.012,-0.2164062,-0.25492176,-0.242175672,-0.29343732,-0.225653299
1.016,-0.23566398,-0.27417954,-0.260470563,-0.3126951,-0.240462532
1.02,-0.25492176,-0.29343732,-0.278765454,-0.33195288,-0.255271765
1.024,-0.27417954,-0.3126951,-0.297060345,-0.35121066,-0.270080998
1.028,-0.29343732,-0.33195288,-0.315355236,-0.37046844,-0.28489023
1.0319999,-0.3126951,-0.35121066,-0.333650127,-0.38972622,-0.299699463
1.036,-0.33195288,-0.37046844,-0.351945018,-0.408984,-0.314508696
1.04,-0.35121066,-0.38972622,-0.370239909,-0.42824178,-0.329317929
1.044,-0.37046844,-0.408984,-0.3885348,-0.44749956,-0.344127162
1.048,-0.38972622,-0.42824178,-0.406829691,-0.46675734,-0.358936394
1.052,-0.408984,-0.44749956,-0.425124582,-0.48601512,-0.373745627
1.056,-0.42824178,-0.46675734,-0.443419473,-0.5052729,-0.38855486
1.0599999,-0.44749956,-0.48601512,-0.461714364,-0.52453068,-0.403364093
1.064,-0.46675734,-0.5052729,-0.480009255,-0.54378846,-0.418173326
1.068,-0.48601512,-0.52453068,-0.498304146,-0.56304624,-0.432982559
1.072,-0.5052729,-0.54378846,-0.516599037,-0.58230402,-0.447791791
1.076,-0.52453068,-0.56304624,-0.534893928,-0.59965976,-0.461138355
1.08,-0.54378846,-0.58230402,-0.553188819,-0.6170155,-0.47448492
1.084,-0.56304624,-0.59965976,-0.569676772,-0.63437124,-0.487831484
1.0880001,-0.58230402,-0.6170155,-0.586164725,-0.65172698,-0.501178048
1.092,-0.59965976,-0.63437124,-0.602652678,-0.66908272,-0.514524612
1.096,-0.6170155,-0.65172698,-0.619140631,-0.68643846,-0.527871176
1.1,-0.63437124,-0.66908272,-0.635628584,-0.7037942,-0.54121774
1.104,-0.65172698,-0.68643846,-0.652116537,-0.72114994,-0.554564304
1.108,-0.66908272,-0.7037942,-0.66860449,-0.73850568,-0.567910868
1.112,-0.68643846,-0.72114994,-0.685092443,-0.75586142,-0.581257432
1.1160001,-0.7037942,-0.73850568,-0.701580396,-0.77321716,-0.594603996
1.12,-0.72114994,-0.75586142,-0.718068349,-0.7905729,-0.60795056
1.124,-0.73850568,-0.77321716,-0.734556302,-0.80792864,-0.621297124
1.128,-0.75586142,-0.7905729,-0.751044255,-0.82528438,-0.634643688
1.132,-0.77321716,-0.80792864,-0.767532208,-0.84264012,-0.647990252
1.136,-0.7905729,-0.82528438,-0.784020161,-0.85999586,-0.661336816
1.14,-0.80792864,-0.84264012,-0.800508114,-0.8773516,-0.67468338
1.1440001,-0.82528438,-0.85999586,-0.816996067,-0.89470734,-0.688029944
1.148,-0.84264012,-0.8773516,-0.83348402,-0.91206308,-0.701376509
1.152,-0.85999586,-0.89470734,-0.849971973,-0.92941882,-0.714723073
1.156,-0.8773516,-0.91206308,-0.866459926,-0.94677456,-0.728069637
1.16,-0.89470734,-0.92941882,-0.882947879,-0.9641303,-0.741416201
1.164,-0.91206308,-0.94677456,-0.899435832,-0.98148604,-0.754762765
1.168,-0.92941882,-0.9641303,-0.915923785,-0.99884178,-0.768109329
1.1720001,-0.94677456,-0.98148604,-0.932411738,-1.01619752,-0.781455893
1.176,-0.9641303,-0.99884178,-0.948899691,-0.99693974,-0.76664666
1.1799999,-0.98148604,-1.01619752,-0.965387644,-0.97768196,-0.751837427
1.184,-0.99884178,-0.99693974,-0.947092753,-0.95842418,-0.737028194
1.188,-1.01619752,-0.97768196,-0.928797862,-0.9391664,-0.722218962
1.192,-0.99693974,-0.95842418,-0.910502971,-0.91990862,-0.707409729
1.196,-0.97768196,-0.9391664,-0.89220808,-0.90065084,-0.692600496
1.2,-0.95842418,-0.91990862,-0.873913189,-0.88139306,-0.677791263
1.204,-0.9391664,-0.90065084,-0.855618298,-0.86213528,-0.66298203
1.2079999,-0.91990862,-0.88139306,-0.837323407,-0.8428775,-0.648172798
1.212,-0.90065084,-0.86213528,-0.819028516,-0.82361972,-0.633363565
1.216,-0.88139306,-0.8428775,-0.800733625,-0.80436194,-0.618554332
1.22,-0.86213528,-0.82361972,-0.782438734,-0.78510416,-0.603745099
1.224,-0.8428775,-0.80436194,-0.764143843,-0.76584638,-0.588935866
1.228,-0.82361972,-0.78510416,-0.745848952,-0.7465886,-0.574126633
1.232,-0.80436194,-0.76584638,-0.727554061,-0.72733082,-0.559317401
1.2359999,-0.78510416,-0.7465886,-0.70925917,-0.70807304,-0.544508168
1.24,-0.76584638,-0.72733082,-0.690964279,-0.68881526,-0.529698935
1.244,-0.7465886,-0.70807304,-0.672669388,-0.66955748,-0.514889702
1.248,-0.72733082,-0.68881526,-0.654374497,-0.6502997,-0.500080469
1.252,-0.70807304,-0.66955748,-0.636079606,-0.63104192,-0.485271236
1.256,-0.68881526,-0.6502997,-0.617784715,-0.61178414,-0.470462004
1.26,-0.66955748,-0.63104192,-0.599489824,-0.59252636,-0.455652771
1.2640001,-0.6502997,-0.61178414,-0.581194933,-0.57326858,-0.440843538
1.268,-0.63104192,-0.59252636,-0.562900042,-0.5540108,-0.426034305
1.272,-0.61178414,-0.57326858,-0.544605151,-0.53475302,-0.411225072
1.276,-0.59252636,-0.5540108,-0.52631026,-0.51549524,-0.39641584
1.28,-0.57326858,-0.53475302,-0.508015369,-0.49623746,-0.381606607
1.284,-0.5540108,-0.51549524,-0.489720478,-0.47697968,-0.366797374
1.288,-0.53475302,-0.49623746,-0.471425587,-0.4577219,-0.351988141
1.2920001,-0.51549524,-0.47697968,-0.453130696,-0.43846412,-0.337178908
1.296,-0.49623746,-0.4577219,-0.434835805,-0.41920634,-0.322369675
1.3,-0.47697968,-0.43846412,-0.416540914,-0.39994856,-0.307560443
1.304,-0.4577219,-0.41920634,-0.398246023,-0.38069078,-0.29275121
1.308,-0.43846412,-0.39994856,-0.379951132,-0.361433,-0.277941977
1.312,-0.41920634,-0.38069078,-0.361656241,-0.34217522,-0.263132744
1.316,-0.39994856,-0.361433,-0.34336135,-0.32291744,-0.248323511
1.3200001,-0.38069078,-0.34217522,-0.325066459,-0.30365966,-0.233514279
1.324,-0.361433,-0.32291744,-0.306771568,-0.28440188,-0.218705046
1.3279999,-0.34217522,-0.30365966,-0.288476677,-0.2651441,-0.203895813
1.332,-0.32291744,-0.28440188,-0.270181786,-0.24588632,-0.18908658
1.336,-0.30365966,-0.2651441,-0.251886895,-0.22662854,-0.174277347
1.34,-0.28440188,-0.24588632,-0.233592004,-0.20737076,-0.159468114
1.344,-0.2651441,-0.22662854,-0.215297113,-0.18811298,-0.144658882
1.348,-0.24588632,-0.20737076,-0.197002222,-0.1688552,-0.129849649
1.352,-0.22662854,-0.18811298,-0.178707331,-0.14959742,-0.115040416
1.3559999,-0.20737076,-0.1688552,-0.16041244,-0.13033964,-0.100231183
1.36,-0.18811298,-0.14959742,-0.142117549,-0.11108186,-0.08542195
1.364,-0.1688552,-0.13033964,-0.123822658,-0.09182408,-0.070612718
1.368,-0.14959742,-0.11108186,-0.105527767,-0.0725663,-0.055803485
1.372,-0.13033964,-0.09182408,-0.087232876,-0.05330852,-0.040994252
1.376,-0.11108186,-0.0725663,-0.068937985,-0.03405074,-0.026185019
1.38,-0.09182408,-0.05330852,-0.050643094,-0.01479296,-0.011375786
1.3839999,-0.0725663,-0.03405074,-0.032348203,-0.0321487,-0.02472235
1.388,-0.05330852,-0.01479296,-0.014053312,-0.04950444,-0.038068914
1.392,-0.03405074,-0.0321487,-0.030541265,-0.06686018,-0.051415478
1.396,-0.01479296,-0.04950444,-0.047029218,-0.08421592,-0.064762042
1.4,-0.0321487,-0.06686018,-0.063517171,-0.10157166,-0.078108607
1.404,-0.04950444,-0.08421592,-0.080005124,-0.1189274,-0.091455171
1.408,-0.06686018,-0.10157166,-0.096493077,-0.13628314,-0.104801735
1.4119999,-0.08421592,-0.1189274,-0.11298103,-0.15363888,-0.118148299
1.416,-0.10157166,-0.13628314,-0.129468983,-0.17099462,-0.131494863
1.42,-0.1189274,-0.15363888,-0.145956936,-0.18835036,-0.144841427
1.424,-0.13628314,-0.17099462,-0.162444889,-0.2057061,-0.158187991
1.428,-0.15363888,-0.18835036,-0.178932842,-0.22306184,-0.171534555
1.432,-0.17099462,-0.2057061,-0.195420795,-0.24041758,-0.184881119
1.436,-0.18835036,-0.22306184,-0.211908748,-0.25777332,-0.198227683
1.4400001,-0.2057061,-0.24041758,-0.228396701,-0.27512906,-0.211574247
1.444,-0.22306184,-0.25777332,-0.244884654,-0.2924848,-0.224920811
1.448,-0.24041758,-0.27512906,-0.261372607,-0.31174258,-0.239730044
1.452,-0.25777332,-0.2924848,-0.27786056,-0.32411305,-0.249242935
1.456,-0.27512906,-0.31174258,-0.296155451,-0.32580574,-0.250544614
