               Frequency                          S11
                       1                      -1.4357796
               1.0039999                      -1.4468327
                   1.008                      -1.4584898
                   1.012                      -1.4708383
                   1.016                      -1.4839485
                    1.02                      -1.4978663
                   1.024                      -1.5126185
                   1.028                      -1.5282043
               1.0319999                      -1.5446032
                   1.036                      -1.5617703
                    1.04                      -1.5796405
                   1.044                      -1.5981327
                   1.048                      -1.6171496
                   1.052                      -1.6365845
                   1.056                      -1.6563233
               1.0599999                      -1.6762505
                   1.064                      -1.6962537
                   1.068                      -1.7162278
                   1.072                      -1.7360761
                   1.076                      -1.7557223
                    1.08                      -1.7751038
                   1.084                      -1.7941803
               1.0880001                      -1.8129357
                   1.092                      -1.8313747
                   1.096                      -1.8495269
                     1.1                      -1.8674429
                   1.104                      -1.8851941
                   1.108                      -1.9028707
                   1.112                      -1.9205766
               1.1160001                       -1.938425
                    1.12                      -1.9565366
                   1.124                      -1.9750341
                   1.128                      -1.9940379
                   1.132                      -2.0136634
                   1.136                      -2.0340118
                    1.14                      -2.0551743
               1.1440001                      -2.0772231
                   1.148                      -2.1002124
                   1.152                      -2.1241749
                   1.156                      -2.1491207
                    1.16                      -2.1750396
                   1.164                      -2.2019004
                   1.168                      -2.2296513
               1.1720001                      -2.2582242
                   1.176                       -2.287535
               1.1799999                       -2.317488
                   1.184                      -2.3479821
                   1.188                      -2.3789106
                   1.192                      -2.4101679
                   1.196                      -2.4416536
                     1.2                      -2.4732749
                   1.204                      -2.5049528
               1.2079999                       -2.536624
                   1.212                      -2.5682419
                   1.216                      -2.5997828
                    1.22                      -2.6312434
                   1.224                      -2.6626429
                   1.228                      -2.6940213
                   1.232                      -2.7254416
               1.2359999                      -2.7569823
                    1.24                      -2.7887385
                   1.244                      -2.8208188
                   1.248                      -2.8533387
                   1.252                      -2.8864216
                   1.256                      -2.9201868
                    1.26                      -2.9547551
               1.2640001                      -2.9902371
                   1.268                      -3.0267319
                   1.272                      -3.0643275
                   1.276                      -3.1030912
                    1.28                      -3.1430739
                   1.284                      -3.1843043
                   1.288                       -3.226791
               1.2920001                      -3.2705204
                   1.296                      -3.3154594
                     1.3                      -3.3615542
                   1.304                      -3.4087358
                   1.308                      -3.4569193
                   1.312                      -3.5060077
                   1.316                      -3.5559004
               1.3200001                       -3.606487
                   1.324                      -3.6576634
               1.3279999                      -3.7093242
                   1.332                       -3.761377
                   1.336                      -3.8137399
                    1.34                      -3.8663451
                   1.344                      -3.9191449
                   1.348                      -3.9721095
                   1.352                       -4.025233
               1.3559999                      -4.0785313
                    1.36                      -4.1320408
                   1.364                      -4.1858182
                   1.368                      -4.2399434
                   1.372                      -4.2945074
                   1.376                      -4.3496189
                    1.38                      -4.4053945
               1.3839999                      -4.4619564
                   1.388                      -4.5194275
                   1.392                      -4.5779304
                   1.396                      -4.6375817
                     1.4                      -4.6984842
                   1.404                      -4.7607283
                   1.408                      -4.8243874
               1.4119999                       -4.889515
                   1.416                       -4.956143
                    1.42                      -5.0242807
                   1.424                       -5.093914
                   1.428                      -5.1650034
                   1.432                      -5.2374926
                   1.436                      -5.3112959
               1.4400001                      -5.3863188
                   1.444                      -5.4624453
                   1.448                      -5.5395495
                   1.452                      -5.6174976
                   1.456                      -5.6961511
                    1.46                      -5.7753742
                   1.464                      -5.8550341
               1.4680001                      -5.9350083
                   1.472                       -6.015187
                   1.476                      -6.0954791
                    1.48                      -6.1758126
                   1.484                      -6.2561361
                   1.488                      -6.3364248
                   1.492                       -6.416677
               1.4960001                      -6.4969156
                     1.5                      -6.5771855
               1.5039999                       -6.657554
                   1.508                      -6.7381065
                   1.512                      -6.8189416
                   1.516                      -6.9001711
                    1.52                      -6.9819094
                   1.524                       -7.064275
                   1.528                       -7.147381
               1.5319999                      -7.2313347
                   1.536                      -7.3162278
                    1.54                      -7.4021366
                   1.544                      -7.4891156
                   1.548                      -7.5771959
                   1.552                      -7.6663829
                   1.556                      -7.7566504
               1.5599999                      -7.8479474
                   1.564                      -7.9401914
                   1.568                      -8.0332718
                   1.572                      -8.1270489
                   1.576                      -8.2213627
                    1.58                      -8.3160293
                   1.584                      -8.4108472
               1.5880001                      -8.5056036
                   1.592                      -8.6000785
                   1.596                      -8.6940472
                     1.6                      -8.7872921
                   1.604                       -8.879601
                   1.608                      -8.9707801
                   1.612                      -9.0606535
               1.6160001                      -9.1490684
                    1.62                      -9.2359031
                   1.624                      -9.3210631
                   1.628                      -9.4044888
                   1.632                      -9.4861524
                   1.636                      -9.5660592
                    1.64                      -9.6442449
               1.6440001                      -9.7207719
                   1.648                      -9.7957283
                   1.652                      -9.8692219
                   1.656                      -9.9413708
                    1.66                      -10.012304
                   1.664                      -10.082153
                   1.668                      -10.151046
               1.6720001                      -10.219098
                   1.676                      -10.286413
               1.6799999                      -10.353073
                   1.684                      -10.419132
                   1.688                      -10.484622
                   1.692                      -10.549538
                   1.696                      -10.613847
                     1.7                      -10.677479
